"","code","analysed.material","geological.zone","main.ore","p206.204","p207.204","p208.204","p207.206","p208.206","tmod","mu12","kappa12","reference","ref.code","decimallatitude","decimallongitude","sample.type1","geol.zone"
"GDM.0050","GDM.0050","Pb metal",NA,NA,18.08,15.63,38.17,0.864,2.111,463,9.73,3.992,"Brill et al, 1987","Ref.011",37.33,2,"Archaeological",NA
"GDM.0051","GDM.0051","Pb metal",NA,NA,18.14,15.64,38.25,0.862,2.109,436,9.75,3.998,"Brill et al, 1987","Ref.011",37.33,2,"Archaeological",NA
"GDM.0052","GDM.0052","Pb metal",NA,NA,18.47,15.64,38.47,0.847,2.083,190,9.67,3.8932,"Brill et al, 1987","Ref.011",37.33,2,"Archaeological",NA
"GDM.0053","GDM.0053","Galena","BC",NA,18.32,15.66,38.51,0.855,2.102,340,9.79,4.0222,"Brill et al, 1987","Ref.011",36.951676,-2.510098,"Geological","Betic Cordillera"
"GDM.0054","GDM.0054","Galena","BC",NA,18.2,15.59,38.17,0.857,2.098,297,9.54,3.8953,"Brill et al, 1987","Ref.011",37.114179,-3.558737,"Geological","Betic Cordillera"
"GDM.0055","GDM.0055","Galena","NIM",NA,18.24,15.65,38.42,0.858,2.106,381,9.77,4.0253,"Brill et al, 1987","Ref.011",38.140853,-3.679209,"Geological","Northern branch of the Iberian Massif"
"GDM.0056","GDM.0056","Galena","BC",NA,18.34,15.67,38.53,0.855,2.101,344,9.82,4.0228,"Brill et al, 1987","Ref.011",36.951676,-2.510098,"Geological","Betic Cordillera"
"GDM.0058","GDM.0058","Galena","NIM",NA,18.38,15.64,38.39,0.851,2.088,258,9.69,3.9105,"Brill et al, 1987","Ref.011",40.688019,-8.490593,"Geological","Northern branch of the Iberian Massif"
"GDM.0059","GDM.0059","Galena","OMZ",NA,18.212,15.591,38.173,0.856,2.096,290,9.54,3.8892,"Brill et al, 1987","Ref.011",37.844217,-5.095712,"Geological","Ossa Morena Zone"
"GDM.0115","GDM.0115","Galena","NIM","Pb-Zn",17.903,15.614,38.014,0.872,2.123,565,9.71,4.0239,"Arias, 1988","Ref.012",42.67467,-7.039144,"Geological","Northern branch of the Iberian Massif"
"GDM.0060","GDM.0060","Silver",NA,NA,18.224,15.635,38.222,0.858,2.097,365,9.71,3.923,"Kassianidou, 1992","Ref.013",37.780829,-6.789095,"Archaeological",NA
"GDM.0061","GDM.0061","Silver",NA,NA,18.267,15.668,38.304,0.858,2.097,394,9.83,3.9498,"Kassianidou, 1992","Ref.013",37.780829,-6.789095,"Archaeological",NA
"GDM.0062","GDM.0062","Silver",NA,NA,18.23,15.643,38.281,0.858,2.1,375,9.74,3.9539,"Kassianidou, 1992","Ref.013",37.780829,-6.789095,"Archaeological",NA
"GDM.0063","GDM.0063","Silver",NA,NA,18.208,15.638,38.241,0.859,2.1,382,9.73,3.9454,"Kassianidou, 1992","Ref.013",37.780829,-6.789095,"Archaeological",NA
"GDM.0064","GDM.0064","Silver",NA,NA,18.251,15.668,38.356,0.858,2.102,406,9.83,3.989,"Kassianidou, 1992","Ref.013",37.780829,-6.789095,"Archaeological",NA
"GDM.0065","GDM.0065","Silver",NA,NA,18.233,15.649,38.273,0.858,2.099,384,9.76,3.9495,"Kassianidou, 1992","Ref.013",37.780829,-6.789095,"Archaeological",NA
"GDM.0066","GDM.0066","Silver",NA,NA,18.233,15.686,38.275,0.86,2.099,452,9.91,3.9632,"Kassianidou, 1992","Ref.013",37.780829,-6.789095,"Archaeological",NA
"GDM.0067","GDM.0067","Silver",NA,NA,18.213,15.629,38.216,0.858,2.098,362,9.69,3.9252,"Kassianidou, 1992","Ref.013",37.780829,-6.789095,"Archaeological",NA
"GDM.0068","GDM.0068","Silver",NA,NA,18.226,15.637,38.249,0.858,2.099,367,9.72,3.9371,"Kassianidou, 1992","Ref.013",37.780829,-6.789095,"Archaeological",NA
"GDM.0081","GDM.0081","Pb mineral","SPZ","Cu-Pb",18.161,15.622,38.16,0.86,2.101,387,9.67,3.9275,"Marcoux et al,1992","Ref.014",37.522091,-6.247384,"Geological","South Portuguese Zone"
"GDM.0082","GDM.0082","Pb mineral","SPZ","Cu-Pb",18.176,15.61,38.11,0.859,2.097,354,9.62,3.8856,"Marcoux et al,1992","Ref.014",37.522091,-6.247384,"Geological","South Portuguese Zone"
"GDM.0083","GDM.0083","Pb mineral","SPZ","Cu-Pb",18.199,15.646,38.223,0.86,2.1,404,9.76,3.9444,"Marcoux et al,1992","Ref.014",37.522091,-6.247384,"Geological","South Portuguese Zone"
"GDM.0084","GDM.0084","Pb mineral","SPZ","Cu-Pb",18.176,15.608,38.113,0.859,2.097,350,9.61,3.8866,"Marcoux et al,1992","Ref.014",37.522091,-6.247384,"Geological","South Portuguese Zone"
"GDM.0085","GDM.0085","Pb mineral","SPZ","Cu-Pb",18.159,15.61,38.17,0.86,2.102,366,9.62,3.9302,"Marcoux et al,1992","Ref.014",37.604322,-6.858251,"Geological","South Portuguese Zone"
"GDM.0086","GDM.0086","Pb mineral","SPZ","Cu-Pb",18.166,15.594,38.107,0.858,2.098,331,9.56,3.8852,"Marcoux et al,1992","Ref.014",37.775773,-6.677935,"Geological","South Portuguese Zone"
"GDM.0087","GDM.0087","Pb mineral","SPZ","Cu-Pb",18.176,15.608,38.176,0.859,2.1,350,9.61,3.9212,"Marcoux et al,1992","Ref.014",37.775773,-6.677935,"Geological","South Portuguese Zone"
"GDM.0088","GDM.0088","Pb mineral","SPZ","Cu-Pb",18.225,15.633,38.223,0.858,2.097,360,9.7,3.9222,"Marcoux et al,1992","Ref.014",37.616251,-7.291185,"Geological","South Portuguese Zone"
"GDM.0089","GDM.0089","Pb mineral","SPZ","Cu-Pb",18.198,15.605,38.136,0.858,2.096,328,9.6,3.8833,"Marcoux et al,1992","Ref.014",37.668632,-7.498661,"Geological","South Portuguese Zone"
"GDM.0090","GDM.0090","Pb mineral","SPZ","Cu-Pb",18.168,15.601,38.128,0.859,2.099,343,9.59,3.8979,"Marcoux et al,1992","Ref.014",37.668632,-7.498661,"Geological","South Portuguese Zone"
"GDM.0091","GDM.0091","Pb mineral","SPZ","Cu-Pb",18.217,15.646,38.272,0.859,2.101,391,9.76,3.9589,"Marcoux et al,1992","Ref.014",37.806968,-6.928333,"Geological","South Portuguese Zone"
"GDM.0092","GDM.0092","Pb mineral","SPZ","Cu-Pb",18.189,15.624,38.195,0.859,2.1,370,9.67,3.9283,"Marcoux et al,1992","Ref.014",37.668632,-7.498661,"Geological","South Portuguese Zone"
"GDM.0093","GDM.0093","Pb mineral","SPZ","Cu-Pb",18.18,15.605,38.079,0.858,2.095,341,9.6,3.8642,"Marcoux et al,1992","Ref.014",37.726143,-6.557999,"Geological","South Portuguese Zone"
"GDM.0094","GDM.0094","Pb mineral","SPZ","Cu-Pb",18.193,15.607,38.175,0.858,2.098,335,9.6,3.9087,"Marcoux et al,1992","Ref.014",37.70455,-6.598663,"Geological","South Portuguese Zone"
"GDM.0095","GDM.0095","Pb mineral","SPZ","Cu-Pb",18.207,15.629,38.207,0.858,2.098,366,9.69,3.9243,"Marcoux et al,1992","Ref.014",37.70455,-6.598663,"Geological","South Portuguese Zone"
"GDM.0096","GDM.0096","Pb mineral","SPZ","Cu-Pb",18.188,15.636,38.211,0.86,2.101,393,9.72,3.9419,"Marcoux et al,1992","Ref.014",37.70455,-6.598663,"Geological","South Portuguese Zone"
"GDM.0097","GDM.0097","Pb mineral","SPZ","Cu-Pb",18.191,15.627,38.207,0.859,2.1,374,9.69,3.9345,"Marcoux et al,1992","Ref.014",37.70455,-6.598663,"Geological","South Portuguese Zone"
"GDM.0098","GDM.0098","Pb mineral","SPZ","Cu-Pb",18.198,15.644,38.275,0.86,2.103,401,9.75,3.9729,"Marcoux et al,1992","Ref.014",37.70455,-6.598663,"Geological","South Portuguese Zone"
