"","code","analysed.material","geological.zone","main.ore","p206.204","p207.204","p208.204","p207.206","p208.206","tmod","mu12","kappa12","reference","ref.code","decimallatitude","decimallongitude","sample.type1","geol.zone"
"GDM.0554","GDM.0554","Galena","NIM","Pb-Zn",18.092,15.685,38.269,0.867,2.115,552,9.95,4.0576,"García de Madinabeitia, 2003","Ref.036",38.722878,-3.793122,"Geological","Northern branch of the Iberian Massif"
"GDM.0555","GDM.0555","Galena","NIM","Pb-Zn",18.093,15.684,38.27,0.867,2.115,550,9.94,4.0571,"García de Madinabeitia, 2003","Ref.036",38.323779,-3.777163,"Geological","Northern branch of the Iberian Massif"
"GDM.0556","GDM.0556","Galena","NIM","Pb-Zn",18.008,15.67,38.189,0.87,2.121,587,9.91,4.0673,"García de Madinabeitia, 2003","Ref.036",38.784776,-4.275004,"Geological","Northern branch of the Iberian Massif"
"GDM.0557","GDM.0557","Galena","NIM","Pb-Zn",18.045,15.686,38.294,0.869,2.122,588,9.97,4.1056,"García de Madinabeitia, 2003","Ref.036",38.361218,-4.108907,"Geological","Northern branch of the Iberian Massif"
"GDM.0558","GDM.0558","Galena","NIM","Pb-Zn",18.002,15.652,38.163,0.869,2.12,560,9.84,4.0508,"García de Madinabeitia, 2003","Ref.036",38.755916,-3.916543,"Geological","Northern branch of the Iberian Massif"
"GDM.0559","GDM.0559","Galena","NIM","Pb-Zn",18.008,15.66,38.188,0.87,2.121,569,9.87,4.0634,"García de Madinabeitia, 2003","Ref.036",38.427863,-4.102683,"Geological","Northern branch of the Iberian Massif"
"GDM.0560","GDM.0560","Galena","NIM","Pb-Zn",17.787,15.58,37.757,0.876,2.123,590,9.61,3.9465,"García de Madinabeitia, 2003","Ref.036",38.466272,-4.296826,"Geological","Northern branch of the Iberian Massif"
"GDM.0561","GDM.0561","Galena","NIM","Pb-Zn",17.777,15.584,37.792,0.877,2.126,604,9.63,3.9756,"García de Madinabeitia, 2003","Ref.036",38.188684,-4.262142,"Geological","Northern branch of the Iberian Massif"
"GDM.0562","GDM.0562","Galena","NIM","Pb-Zn",17.789,15.577,37.777,0.876,2.124,583,9.59,3.9558,"García de Madinabeitia, 2003","Ref.036",38.422818,-4.19957,"Geological","Northern branch of the Iberian Massif"
"GDM.0563","GDM.0563","Galena","NIM","Pb-Zn",17.752,15.574,37.733,0.877,2.126,605,9.59,3.9556,"García de Madinabeitia, 2003","Ref.036",38.164242,-4.402962,"Geological","Northern branch of the Iberian Massif"
"GDM.0564","GDM.0564","Galena","NIM","Pb-Zn",17.773,15.594,37.804,0.877,2.127,625,9.67,3.989,"García de Madinabeitia, 2003","Ref.036",38.164242,-4.402962,"Geological","Northern branch of the Iberian Massif"
"GDM.0565","GDM.0565","Galena","NIM","Pb-Zn",17.755,15.575,37.736,0.877,2.125,605,9.6,3.9555,"García de Madinabeitia, 2003","Ref.036",38.164242,-4.402962,"Geological","Northern branch of the Iberian Massif"
"GDM.0566","GDM.0566","Galena","NIM","Pb-Zn",17.759,15.579,37.752,0.877,2.126,609,9.61,3.9634,"García de Madinabeitia, 2003","Ref.036",38.164242,-4.402962,"Geological","Northern branch of the Iberian Massif"
"GDM.0567","GDM.0567","Galena","NIM","Pb-Zn",17.762,15.572,37.729,0.877,2.124,594,9.58,3.9453,"García de Madinabeitia, 2003","Ref.036",38.618609,-4.174586,"Geological","Northern branch of the Iberian Massif"
"GDM.0568","GDM.0568","Galena","NIM","Pb-Zn",17.983,15.615,38.067,0.868,2.117,507,9.69,3.9972,"García de Madinabeitia, 2003","Ref.036",38.768327,-3.954706,"Geological","Northern branch of the Iberian Massif"
"GDM.0569","GDM.0569","Galena","NIM","Pb-Zn",17.99,15.624,39.1,0.869,2.173,518,9.73,4.5825,"García de Madinabeitia, 2003","Ref.036",38.768327,-3.954706,"Geological","Northern branch of the Iberian Massif"
"GDM.0570","GDM.0570","Galena","NIM","Pb-Zn",17.76,15.577,37.748,0.877,2.125,605,9.6,3.9597,"García de Madinabeitia, 2003","Ref.036",38.666082,-4.100596,"Geological","Northern branch of the Iberian Massif"
"GDM.0571","GDM.0571","Galena","NIM","Pb-Zn",17.734,15.558,37.669,0.877,2.124,590,9.53,3.9254,"García de Madinabeitia, 2003","Ref.036",38.314269,-4.20455,"Geological","Northern branch of the Iberian Massif"
"GDM.0572","GDM.0572","Galena","NIM","Pb-Zn",17.751,15.568,37.703,0.877,2.124,595,9.57,3.9366,"García de Madinabeitia, 2003","Ref.036",38.494521,-4.09215,"Geological","Northern branch of the Iberian Massif"
"GDM.0573","GDM.0573","Galena","NIM","Pb-Zn",18.14,15.591,38.203,0.859,2.106,345,9.55,3.9549,"García de Madinabeitia, 2003","Ref.036",38.896891,-4.423674,"Geological","Northern branch of the Iberian Massif"
"GDM.0574","GDM.0574","Galena","NIM","Pb-Zn",18.142,15.582,38.172,0.859,2.104,326,9.52,3.9332,"García de Madinabeitia, 2003","Ref.036",38.355956,-4.424071,"Geological","Northern branch of the Iberian Massif"
"GDM.0575","GDM.0575","Galena","NIM","Pb-Zn",18.138,15.598,38.21,0.86,2.107,359,9.58,3.9626,"García de Madinabeitia, 2003","Ref.036",38.648956,-4.411494,"Geological","Northern branch of the Iberian Massif"
"GDM.0576","GDM.0576","Galena","NIM","Pb-Zn",18.112,15.577,38.146,0.86,2.106,339,9.5,3.9378,"García de Madinabeitia, 2003","Ref.036",38.948808,-4.3879,"Geological","Northern branch of the Iberian Massif"
"GDM.0577","GDM.0577","Galena","NIM","Pb-Zn",18.246,15.616,38.518,0.856,2.111,312,9.63,4.0623,"García de Madinabeitia, 2003","Ref.036",38.99024,-4.288287,"Geological","Northern branch of the Iberian Massif"
"GDM.0578","GDM.0578","Galena","NIM","Pb-Zn",18.126,15.596,38.214,0.86,2.108,365,9.58,3.9725,"García de Madinabeitia, 2003","Ref.036",38.99024,-4.288287,"Geological","Northern branch of the Iberian Massif"
"GDM.0579","GDM.0579","Galena","NIM","Pb-Zn",18.219,15.642,38.362,0.859,2.106,382,9.74,4.0054,"García de Madinabeitia, 2003","Ref.036",38.935374,-4.284057,"Geological","Northern branch of the Iberian Massif"
"GDM.0580","GDM.0580","Galena","NIM","Pb-Zn",18.183,15.638,38.366,0.86,2.11,401,9.73,4.0313,"García de Madinabeitia, 2003","Ref.036",38.728702,-4.219295,"Geological","Northern branch of the Iberian Massif"
"GDM.0581","GDM.0581","Galena","NIM","Pb-Zn",18.196,15.612,38.266,0.858,2.103,342,9.62,3.9583,"García de Madinabeitia, 2003","Ref.036",38.330419,-4.321981,"Geological","Northern branch of the Iberian Massif"
"GDM.0582","GDM.0582","Galena","NIM","Pb-Zn",18.207,15.623,38.321,0.858,2.105,355,9.67,3.9846,"García de Madinabeitia, 2003","Ref.036",38.812368,-4.240593,"Geological","Northern branch of the Iberian Massif"
"GDM.0583","GDM.0583","Galena","NIM","Pb-Zn",18.212,15.624,38.326,0.858,2.104,353,9.67,3.9843,"García de Madinabeitia, 2003","Ref.036",38.812368,-4.240593,"Geological","Northern branch of the Iberian Massif"
"GDM.0584","GDM.0584","Galena","NIM","Pb-Zn",18.193,15.615,38.31,0.858,2.106,350,9.64,3.9855,"García de Madinabeitia, 2003","Ref.036",38.746015,-4.215456,"Geological","Northern branch of the Iberian Massif"
"GDM.0585","GDM.0585","Galena","NIM","Pb-Zn",18.197,15.619,38.318,0.858,2.106,355,9.65,3.9885,"García de Madinabeitia, 2003","Ref.036",38.285877,-4.268967,"Geological","Northern branch of the Iberian Massif"
"GDM.0586","GDM.0586","Galena","NIM","Pb-Zn",18.212,15.619,38.319,0.858,2.104,344,9.65,3.9787,"García de Madinabeitia, 2003","Ref.036",38.285877,-4.268967,"Geological","Northern branch of the Iberian Massif"
"GDM.0587","GDM.0587","Galena","NIM","Pb-Zn",18.174,15.616,38.306,0.859,2.108,366,9.65,3.9968,"García de Madinabeitia, 2003","Ref.036",38.460002,-4.225815,"Geological","Northern branch of the Iberian Massif"
"GDM.0588","GDM.0588","Galena","NIM","Pb-Zn",18.201,15.622,38.309,0.858,2.105,358,9.66,3.9819,"García de Madinabeitia, 2003","Ref.036",38.460002,-4.225815,"Geological","Northern branch of the Iberian Massif"
"GDM.0589","GDM.0589","Galena","NIM","Pb-Zn",18.2,15.625,38.33,0.859,2.106,364,9.67,3.9951,"García de Madinabeitia, 2003","Ref.036",38.254805,-4.221956,"Geological","Northern branch of the Iberian Massif"
"GDM.0590","GDM.0590","Galena","NIM","Pb-Zn",18.24,15.637,38.386,0.857,2.104,357,9.71,4.0022,"García de Madinabeitia, 2003","Ref.036",38.243997,-4.233115,"Geological","Northern branch of the Iberian Massif"
"GDM.0591","GDM.0591","Galena","NIM","Pb-Zn",18.195,15.633,38.363,0.859,2.108,383,9.71,4.0195,"García de Madinabeitia, 2003","Ref.036",38.939825,-4.314262,"Geological","Northern branch of the Iberian Massif"
"GDM.0592","GDM.0592","Galena","NIM","Pb-Zn",18.192,15.612,38.311,0.858,2.106,345,9.62,3.9857,"García de Madinabeitia, 2003","Ref.036",38.939825,-4.314262,"Geological","Northern branch of the Iberian Massif"
"GDM.0593","GDM.0593","Galena","NIM","Pb-Zn",18.174,15.618,38.31,0.859,2.108,370,9.65,3.9997,"García de Madinabeitia, 2003","Ref.036",38.939825,-4.314262,"Geological","Northern branch of the Iberian Massif"
"GDM.0594","GDM.0594","Galena","NIM","Pb-Zn",18.165,15.624,38.288,0.86,2.108,388,9.68,3.996,"García de Madinabeitia, 2003","Ref.036",38.939825,-4.314262,"Geological","Northern branch of the Iberian Massif"
"GDM.0595","GDM.0595","Galena","NIM","Pb-Zn",18.175,15.612,38.292,0.859,2.107,358,9.63,3.987,"García de Madinabeitia, 2003","Ref.036",38.243581,-4.348859,"Geological","Northern branch of the Iberian Massif"
"GDM.0596","GDM.0596","Galena","NIM","Pb-Zn",18.188,15.601,38.288,0.858,2.105,327,9.58,3.9719,"García de Madinabeitia, 2003","Ref.036",38.525529,-4.358607,"Geological","Northern branch of the Iberian Massif"
"GDM.0597","GDM.0597","Galena","NIM","Pb-Zn",18.185,15.593,38.265,0.858,2.104,314,9.55,3.9586,"García de Madinabeitia, 2003","Ref.036",38.939783,-4.443743,"Geological","Northern branch of the Iberian Massif"
"GDM.0598","GDM.0598","Galena","NIM","Pb-Zn",18.185,15.6,38.276,0.858,2.105,328,9.58,3.9671,"García de Madinabeitia, 2003","Ref.036",38.939783,-4.443743,"Geological","Northern branch of the Iberian Massif"
"GDM.0599","GDM.0599","Galena","NIM","Pb-Zn",18.183,15.593,38.261,0.858,2.104,316,9.55,3.9578,"García de Madinabeitia, 2003","Ref.036",38.039504,-4.437205,"Geological","Northern branch of the Iberian Massif"
"GDM.0600","GDM.0600","Galena","NIM","Pb-Zn",18.241,15.642,38.412,0.858,2.106,365,9.73,4.0174,"García de Madinabeitia, 2003","Ref.036",38.267701,-4.351465,"Geological","Northern branch of the Iberian Massif"
"GDM.0601","GDM.0601","Galena","NIM","Pb-Zn",18.187,15.612,38.319,0.858,2.107,349,9.63,3.9935,"García de Madinabeitia, 2003","Ref.036",38.267701,-4.351465,"Geological","Northern branch of the Iberian Massif"
"GDM.0602","GDM.0602","Galena","NIM","Pb-Zn",18.185,15.606,38.299,0.858,2.106,339,9.6,3.9818,"García de Madinabeitia, 2003","Ref.036",38.174654,-4.383144,"Geological","Northern branch of the Iberian Massif"
"GDM.0603","GDM.0603","Galena","NIM","Pb-Zn",18.196,15.613,38.328,0.858,2.106,344,9.63,3.9926,"García de Madinabeitia, 2003","Ref.036",38.729527,-4.4027,"Geological","Northern branch of the Iberian Massif"
"GDM.0604","GDM.0604","Galena","NIM","Pb-Zn",18.198,15.61,38.287,0.858,2.104,337,9.62,3.9677,"García de Madinabeitia, 2003","Ref.036",38.675655,-4.390451,"Geological","Northern branch of the Iberian Massif"
"GDM.0605","GDM.0605","Galena","NIM","Pb-Zn",18.194,15.615,38.308,0.858,2.106,350,9.64,3.9837,"García de Madinabeitia, 2003","Ref.036",38.265113,-4.493907,"Geological","Northern branch of the Iberian Massif"
"GDM.0606","GDM.0606","Galena","NIM","Pb-Zn",18.157,15.609,38.24,0.86,2.106,366,9.62,3.9699,"García de Madinabeitia, 2003","Ref.036",38.700456,-4.470327,"Geological","Northern branch of the Iberian Massif"
"GDM.0607","GDM.0607","Galena","NIM","Pb-Zn",18.207,15.625,38.332,0.858,2.105,359,9.67,3.9913,"García de Madinabeitia, 2003","Ref.036",38.779023,-4.465069,"Geological","Northern branch of the Iberian Massif"
"GDM.0608","GDM.0608","Galena","NIM","Pb-Zn",18.17,15.617,38.295,0.859,2.108,371,9.65,3.9939,"García de Madinabeitia, 2003","Ref.036",38.040759,-4.132283,"Geological","Northern branch of the Iberian Massif"
"GDM.0609","GDM.0609","Galena","NIM","Pb-Zn",18.217,15.619,38.29,0.857,2.102,340,9.65,3.9594,"García de Madinabeitia, 2003","Ref.036",38.813218,-4.12979,"Geological","Northern branch of the Iberian Massif"
"GDM.0610","GDM.0610","Galena","NIM","Pb-Zn",18.194,15.606,38.262,0.858,2.103,332,9.6,3.9553,"García de Madinabeitia, 2003","Ref.036",38.175872,-4.125844,"Geological","Northern branch of the Iberian Massif"
"GDM.0611","GDM.0611","Galena","NIM","Pb-Zn",18.17,15.606,38.263,0.859,2.106,351,9.61,3.9725,"García de Madinabeitia, 2003","Ref.036",38.932282,-4.122069,"Geological","Northern branch of the Iberian Massif"
"GDM.0612","GDM.0612","Galena","NIM","Pb-Zn",18.184,15.611,38.285,0.859,2.105,350,9.62,3.9766,"García de Madinabeitia, 2003","Ref.036",38.932282,-4.122069,"Geological","Northern branch of the Iberian Massif"
"GDM.0613","GDM.0613","Galena","NIM","Pb-Zn",18.168,15.601,38.248,0.859,2.105,343,9.59,3.9638,"García de Madinabeitia, 2003","Ref.036",38.857458,-4.041566,"Geological","Northern branch of the Iberian Massif"
"GDM.0614","GDM.0614","Galena","NIM","Pb-Zn",18.269,15.635,38.39,0.856,2.101,331,9.7,3.9837,"García de Madinabeitia, 2003","Ref.036",38.084841,-4.037476,"Geological","Northern branch of the Iberian Massif"
"GDM.0615","GDM.0615","Galena","NIM","Pb-Zn",18.213,15.62,38.338,0.858,2.105,345,9.65,3.9887,"García de Madinabeitia, 2003","Ref.036",38.136037,-4.021404,"Geological","Northern branch of the Iberian Massif"
"GDM.0616","GDM.0616","Galena","NIM","Pb-Zn",18.185,15.614,38.287,0.859,2.105,354,9.63,3.9781,"García de Madinabeitia, 2003","Ref.036",38.661832,-3.99046,"Geological","Northern branch of the Iberian Massif"
"GDM.0617","GDM.0617","Galena","NIM","Pb-Zn",18.204,15.61,38.276,0.858,2.103,333,9.61,3.9575,"García de Madinabeitia, 2003","Ref.036",38.194166,-3.99151,"Geological","Northern branch of the Iberian Massif"
"GDM.0618","GDM.0618","Galena","NIM","Pb-Zn",18.169,15.604,38.269,0.859,2.106,348,9.6,3.9757,"García de Madinabeitia, 2003","Ref.036",38.685614,-4.013675,"Geological","Northern branch of the Iberian Massif"
"GDM.0619","GDM.0619","Galena","NIM","Pb-Zn",18.159,15.614,38.272,0.86,2.108,374,9.64,3.9879,"García de Madinabeitia, 2003","Ref.036",38.013884,-3.922318,"Geological","Northern branch of the Iberian Massif"
"GDM.0620","GDM.0620","Galena","NIM","Pb-Zn",18.236,15.617,38.328,0.856,2.102,322,9.63,3.9664,"García de Madinabeitia, 2003","Ref.036",38.056607,-3.929137,"Geological","Northern branch of the Iberian Massif"
"GDM.0621","GDM.0621","Galena","NIM","Pb-Zn",18.156,15.611,38.264,0.86,2.108,371,9.63,3.9845,"García de Madinabeitia, 2003","Ref.036",38.371298,-4.172977,"Geological","Northern branch of the Iberian Massif"
"GDM.0622","GDM.0622","Galena","NIM","Pb-Zn",18.181,15.631,38.359,0.86,2.11,389,9.7,4.0264,"García de Madinabeitia, 2003","Ref.036",38.276398,-3.81855,"Geological","Northern branch of the Iberian Massif"
"GDM.0623","GDM.0623","Silicate","NIM",NA,18.791,15.679,39.51,0.834,2.103,26,9.76,4.2231,"García de Madinabeitia, 2003","Ref.036",38.75422,-5.649039,"Geological","Northern branch of the Iberian Massif"
"GDM.0624","GDM.0624","Silicate","NIM",NA,18.456,15.623,38.185,0.847,2.069,167,9.61,3.747,"García de Madinabeitia, 2003","Ref.036",38.683599,-5.581457,"Geological","Northern branch of the Iberian Massif"
"GDM.0625","GDM.0625","Silicate","NIM",NA,18.365,15.654,38.302,0.852,2.086,296,9.75,3.8783,"García de Madinabeitia, 2003","Ref.036",38.596769,-5.370917,"Geological","Northern branch of the Iberian Massif"
"GDM.0626","GDM.0626","Silicate","NIM",NA,18.312,15.627,38.161,0.853,2.084,284,9.66,3.8285,"García de Madinabeitia, 2003","Ref.036",38.92207,-5.755252,"Geological","Northern branch of the Iberian Massif"
"GDM.0627","GDM.0627","Silicate","NIM",NA,18.336,15.625,38.167,0.852,2.082,262,9.64,3.8153,"García de Madinabeitia, 2003","Ref.036",38.868331,-5.644237,"Geological","Northern branch of the Iberian Massif"
"GDM.0628","GDM.0628","Silicate","NIM",NA,18.784,15.631,39.391,0.832,2.097,-67,9.58,4.1497,"García de Madinabeitia, 2003","Ref.036",38.50868,-4.781258,"Geological","Northern branch of the Iberian Massif"
"GDM.0629","GDM.0629","Silicate","NIM",NA,18.371,15.64,38.295,0.851,2.085,265,9.69,3.8658,"García de Madinabeitia, 2003","Ref.036",38.481031,-4.686232,"Geological","Northern branch of the Iberian Massif"
"GDM.0630","GDM.0630","Silicate","NIM",NA,18.403,15.64,38.202,0.85,2.076,241,9.69,3.7956,"García de Madinabeitia, 2003","Ref.036",38.481031,-4.686232,"Geological","Northern branch of the Iberian Massif"
"GDM.0631","GDM.0631","Silicate","NIM",NA,18.392,15.668,38.263,0.852,2.08,302,9.8,3.8446,"García de Madinabeitia, 2003","Ref.036",38.592321,-4.886548,"Geological","Northern branch of the Iberian Massif"
"GDM.0632","GDM.0632","Galena","NIM",NA,18.384,15.67,38.544,0.852,2.097,311,9.81,3.9998,"Medina et al, 2003","Ref.037",41.59758,-8.470002,"Geological","Northern branch of the Iberian Massif"
"GDM.0633","GDM.0633","Galena","NIM",NA,18.248,15.617,38.151,0.856,2.091,312,9.63,3.8617,"Medina et al, 2003","Ref.037",41.462965,-7.864243,"Geological","Northern branch of the Iberian Massif"
"GDM.0634","GDM.0634","Galena","NIM",NA,18.594,15.636,38.347,0.841,2.062,89,9.63,3.7486,"Medina et al, 2003","Ref.037",41.468268,-7.581782,"Geological","Northern branch of the Iberian Massif"
"GDM.0635","GDM.0635","Galena","NIM",NA,18.352,15.666,38.566,0.854,2.101,329,9.8,4.0325,"Medina et al, 2003","Ref.037",41.907591,-6.739689,"Geological","Northern branch of the Iberian Massif"
"GDM.0636","GDM.0636","Galena","NIM",NA,18.34,15.667,38.371,0.854,2.092,339,9.81,3.937,"Medina et al, 2003","Ref.037",41.907591,-6.739689,"Geological","Northern branch of the Iberian Massif"
"GDM.0637","GDM.0637","Galena","NIM",NA,18.38,15.677,38.547,0.853,2.097,328,9.84,4.0069,"Medina et al, 2003","Ref.037",41.279758,-6.583378,"Geological","Northern branch of the Iberian Massif"
"GDM.0638","GDM.0638","Galena","NIM",NA,18.446,15.699,38.646,0.851,2.095,321,9.91,4.0227,"Medina et al, 2003","Ref.037",41.296477,-6.900932,"Geological","Northern branch of the Iberian Massif"
"GDM.0639","GDM.0639","Galena","NIM",NA,18.597,15.679,38.719,0.843,2.082,171,9.8,3.9531,"Medina et al, 2003","Ref.037",41.171758,-6.781018,"Geological","Northern branch of the Iberian Massif"
"GDM.0640","GDM.0640","Galena","NIM",NA,18.423,15.681,38.611,0.851,2.096,304,9.85,4.0131,"Medina et al, 2003","Ref.037",41.170876,-7.682163,"Geological","Northern branch of the Iberian Massif"
"GDM.0641","GDM.0641","Galena","NIM",NA,18.405,15.686,38.574,0.852,2.096,326,9.87,4.0072,"Medina et al, 2003","Ref.037",41.14658,-7.60524,"Geological","Northern branch of the Iberian Massif"
"GDM.0642","GDM.0642","Galena","NIM",NA,18.375,15.681,38.563,0.853,2.099,338,9.85,4.02,"Medina et al, 2003","Ref.037",41.097392,-7.456072,"Geological","Northern branch of the Iberian Massif"
"GDM.0643","GDM.0643","Galena","NIM",NA,18.395,15.646,38.471,0.851,2.091,258,9.71,3.9452,"Medina et al, 2003","Ref.037",41.032952,-8.324251,"Geological","Northern branch of the Iberian Massif"
"GDM.0644","GDM.0644","Galena","NIM",NA,18.553,15.741,38.793,0.848,2.091,320,10.05,4.0421,"Medina et al, 2003","Ref.037",40.663725,-8.313561,"Geological","Northern branch of the Iberian Massif"
"GDM.0645","GDM.0645","Galena","NIM",NA,18.402,15.676,38.546,0.852,2.095,309,9.83,3.9909,"Medina et al, 2003","Ref.037",41.540519,-8.46039,"Geological","Northern branch of the Iberian Massif"
"GDM.0646","GDM.0646","Galena","NIM",NA,18.401,15.667,38.509,0.851,2.093,293,9.79,3.9691,"Medina et al, 2003","Ref.037",41.540519,-8.46039,"Geological","Northern branch of the Iberian Massif"
"GDM.0647","GDM.0647","Galena","NIM",NA,18.421,15.681,38.546,0.851,2.093,305,9.84,3.9802,"Medina et al, 2003","Ref.037",41.540519,-8.46039,"Geological","Northern branch of the Iberian Massif"
"GDM.0648","GDM.0648","Galena","NIM",NA,18.432,15.647,38.398,0.849,2.083,232,9.71,3.8824,"Medina et al, 2003","Ref.037",40.00839,-7.309695,"Geological","Northern branch of the Iberian Massif"
"GDM.0649","GDM.0649","Galena","NIM",NA,18.424,15.675,38.435,0.851,2.086,292,9.82,3.9172,"Medina et al, 2003","Ref.037",39.838304,-6.971048,"Geological","Northern branch of the Iberian Massif"
"GDM.0650","GDM.0650","Galena","NIM",NA,18.448,15.698,38.601,0.851,2.092,318,9.91,3.9974,"Medina et al, 2003","Ref.037",41.540519,-8.46039,"Geological","Northern branch of the Iberian Massif"
"GDM.0651","GDM.0651","Galena","NIM",NA,18.38,15.674,38.534,0.853,2.097,322,9.83,3.9992,"Medina et al, 2003","Ref.037",41.540519,-8.46039,"Geological","Northern branch of the Iberian Massif"
"GDM.0652","GDM.0652","Galena","NIM",NA,18.357,15.643,38.427,0.852,2.093,281,9.71,3.9466,"Medina et al, 2003","Ref.037",41.540519,-8.46039,"Geological","Northern branch of the Iberian Massif"
"GDM.0653","GDM.0653","Galena","NIM",NA,18.329,15.612,38.337,0.852,2.092,242,9.59,3.9064,"Medina et al, 2003","Ref.037",40.133666,-8.301109,"Geological","Northern branch of the Iberian Massif"
"GDM.0654","GDM.0654","Galena","NIM",NA,18.304,15.634,38.382,0.854,2.097,304,9.69,3.9556,"Medina et al, 2003","Ref.037",41.540519,-8.46039,"Geological","Northern branch of the Iberian Massif"
"GDM.0655","GDM.0655","Galena","OMZ",NA,18.177,15.641,38.408,0.86,2.113,411,9.75,4.0596,"Medina et al, 2003","Ref.037",39.03217,-7.236221,"Geological","Ossa Morena Zone"
"GDM.0656","GDM.0656","Galena","OMZ",NA,18.207,15.643,38.404,0.859,2.109,392,9.75,4.0371,"Medina et al, 2003","Ref.037",38.112827,-7.719321,"Geological","Ossa Morena Zone"
"GDM.0657","GDM.0657","Galena","SPZ",NA,18.376,15.614,38.237,0.85,2.081,209,9.59,3.8226,"Medina et al, 2003","Ref.037",37.568639,-7.931569,"Geological","South Portuguese Zone"
"GDM.0658","GDM.0658","Galena","BCB","Pb-Zn",18.714,15.668,38.721,0.837,2.069,62,9.73,3.8744,"Velasco et al., 2003","Ref.038",43.34444,-4.08556,"Geological","Basque Cantabrian Basin"
"GDM.0659","GDM.0659","Galena","BCB","Pb-Zn",18.714,15.665,38.711,0.837,2.069,56,9.72,3.8683,"Velasco et al., 2003","Ref.038",43.34444,-4.08556,"Geological","Basque Cantabrian Basin"
"GDM.0660","GDM.0660","Galena","BCB","Pb-Zn",18.742,15.673,38.73,0.836,2.066,51,9.75,3.863,"Velasco et al., 2003","Ref.038",43.34444,-4.08556,"Geological","Basque Cantabrian Basin"
"GDM.0661","GDM.0661","Galena","BCB","Pb-Zn",18.728,15.68,38.748,0.837,2.069,75,9.78,3.8834,"Velasco et al., 2003","Ref.038",43.34444,-4.08556,"Geological","Basque Cantabrian Basin"
"GDM.0662","GDM.0662","Galena","BCB","Pb-Zn",18.763,15.685,38.75,0.836,2.065,59,9.79,3.864,"Velasco et al., 2003","Ref.038",43.34444,-4.08556,"Geological","Basque Cantabrian Basin"
"GDM.0663","GDM.0663","Galena","BCB","Pb-Zn",18.752,15.678,38.75,0.836,2.066,53,9.76,3.8685,"Velasco et al., 2003","Ref.038",43.34444,-4.08556,"Geological","Basque Cantabrian Basin"
"GDM.2755","GDM.2755","Pb metal",NA,NA,18.198,15.595,38.299,0.857,2.104,308,9.56,3.9689,"Rodá, 2004","Ref.039",39.827571,4.211018,"Archaeological",NA
"GDM.0664","GDM.0664","Zn mineral","SPZ","Cu-Zn",17.707,15.539,37.808,0.878,2.135,575,9.46,4.0211,"Tornos & Chiaradia, 2004","Ref.040",37.891838,-6.483983,"Geological","South Portuguese Zone"
"GDM.0665","GDM.0665","Zn mineral","SPZ","Cu-Zn",17.684,15.509,37.714,0.877,2.133,537,9.34,3.9718,"Tornos & Chiaradia, 2004","Ref.040",37.891838,-6.483983,"Geological","South Portuguese Zone"
"GDM.0666","GDM.0666","Fe mineral","SPZ","Cu-Zn",17.511,15.492,37.477,0.885,2.14,639,9.33,3.9513,"Tornos & Chiaradia, 2004","Ref.040",37.891838,-6.483983,"Geological","South Portuguese Zone"
"GDM.0667","GDM.0667","Zn mineral","OMZ","Cu-Zn",17.874,15.633,37.641,0.875,2.106,620,9.8,3.8347,"Tornos & Chiaradia, 2004","Ref.040",38.661302,-6.108146,"Geological","Ossa Morena Zone"
"GDM.0668","GDM.0668","Zn mineral","OMZ","Cu-Zn",17.856,15.622,37.608,0.875,2.106,613,9.76,3.8245,"Tornos & Chiaradia, 2004","Ref.040",38.661302,-6.108146,"Geological","Ossa Morena Zone"
"GDM.0669","GDM.0669","Galena","OMZ","Cu-Zn",17.747,15.542,37.449,0.876,2.11,551,9.46,3.7809,"Tornos & Chiaradia, 2004","Ref.040",38.661302,-6.108146,"Geological","Ossa Morena Zone"
"GDM.0670","GDM.0670","Galena","SPZ","Cu-Zn",17.555,15.543,37.778,0.885,2.152,698,9.53,4.1197,"Tornos & Chiaradia, 2004","Ref.040",37.918507,-6.665262,"Geological","South Portuguese Zone"
"GDM.0671","GDM.0671","Galena","SPZ","Cu-Zn",17.517,15.5,37.634,0.885,2.148,649,9.36,4.0459,"Tornos & Chiaradia, 2004","Ref.040",37.918507,-6.665262,"Geological","South Portuguese Zone"
"GDM.0672","GDM.0672","Galena","SPZ","Cu-Zn",17.551,15.546,37.785,0.886,2.153,706,9.54,4.1281,"Tornos & Chiaradia, 2004","Ref.040",37.918507,-6.665262,"Geological","South Portuguese Zone"
"GDM.0673","GDM.0673","Galena","OMZ","Pb",17.568,15.51,37.698,0.883,2.146,628,9.38,4.0494,"Tornos & Chiaradia, 2004","Ref.040",38.363117,-6.217835,"Geological","Ossa Morena Zone"
"GDM.0674","GDM.0674","Galena","OMZ","Pb",17.577,15.512,37.712,0.883,2.146,625,9.39,4.0518,"Tornos & Chiaradia, 2004","Ref.040",38.363117,-6.217835,"Geological","Ossa Morena Zone"
"GDM.0675","GDM.0675","Zn mineral","OMZ","Zn",17.767,15.646,38.249,0.881,2.153,720,9.89,4.2742,"Tornos & Chiaradia, 2004","Ref.040",38.257424,-5.607526,"Geological","Ossa Morena Zone"
