"code","outcrop","analysed.material","period","p206.204","p207.204","p208.204","p207.206","p208.206","tmod","mu12","kappa12","reference","ref.code","decimallatitude","decimallongitude"
"GDM.1443","Conimbriga","Pb metal","Roman",18.154,15.573,38.242,0.856,2.121,299,9.48,3.9603,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1444","Conimbriga","Pb metal","Roman",18.153,15.593,38.327,0.855,2.127,339,9.56,4.0149,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1445","Conimbriga","Pb metal","Roman",18.276,15.65,38.625,0.856,2.113,354,9.76,4.1115,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1446","Conimbriga","Pb metal","Roman",18.332,15.72,38.94,0.857,2.124,441,10.02,4.2668,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1447","Conimbriga","Pb metal","Roman",18.292,15.634,38.552,0.855,2.108,312,9.69,4.055,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1448","Conimbriga","Pb metal","Roman",18.295,15.666,38.758,0.856,2.118,370,9.82,4.1757,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1449","Conimbriga","Pb metal","Roman",18.368,15.723,38.917,0.856,2.119,421,10.03,4.2296,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1450","Conimbriga","Pb metal","Roman",18.176,15.591,38.228,0.857,2.103,317,9.54,3.9438,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1451","Conimbriga","Pb metal","Roman",18.189,15.61,38.3,0.858,2.105,344,9.62,3.981,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1452","Conimbriga","Pb metal","Roman",18.159,15.556,38.123,0.857,2.099,262,9.41,3.8854,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1453","Conimbriga","Pb metal","Roman",18.172,15.579,38.189,0.857,2.101,297,9.5,3.9209,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1454","Conimbriga","Pb metal","Roman",18.235,15.675,38.463,0.86,2.109,431,9.87,4.0609,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1455","Conimbriga","Pb metal","Roman",18.166,15.583,38.325,0.859,2.11,309,9.52,4.0011,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1456","Conimbriga","Pb metal","Roman",18.214,15.581,38.315,0.855,2.103,269,9.5,3.9616,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1457","Conimbriga","Pb metal","Roman",18.256,15.661,38.45,0.858,2.106,390,9.81,4.0343,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1458","Conimbriga","Pb metal","Roman",18.151,15.567,38.25,0.858,2.107,290,9.46,3.9646,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1459","Conimbriga","Pb metal","Roman",18.158,15.586,38.214,0.858,2.104,321,9.53,3.9467,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1460","Conimbriga","Pb metal","Roman",18.184,15.63,38.26,0.859,2.104,385,9.7,3.9695,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1461","Conimbriga","Pb metal","Roman",18.123,15.575,38.178,0.859,2.106,327,9.49,3.9472,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1462","Conimbriga","Pb metal","Roman",18.162,15.608,38.186,0.859,2.102,360,9.62,3.9363,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1463","Conimbriga","Pb metal","Roman",18.185,15.634,38.202,0.86,2.101,392,9.71,3.9383,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1464","Conimbriga","Pb metal","Roman",18.275,15.656,38.276,0.857,2.094,366,9.78,3.9251,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1465","Conimbriga","Pb metal","Roman",18.153,15.586,38.22,0.858,2.105,325,9.53,3.9535,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1466","Conimbriga","Pb metal","Roman",18.292,15.596,38.302,0.853,2.093,239,9.54,3.9068,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1467","Conimbriga","Pb metal","Roman",18.104,15.536,38.205,0.858,2.11,265,9.34,3.9613,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1468","Conimbriga","Pb metal","Roman",18.146,15.61,38.267,0.86,2.109,376,9.63,3.9928,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1469","Conimbriga","Pb metal","Roman",18.156,15.606,38.25,0.859,2.107,361,9.61,3.975,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1470","Conimbriga","Pb metal","Roman",18.201,15.605,38.259,0.857,2.102,325,9.59,3.9485,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1471","Conimbriga","Pb metal","Roman",18.144,15.595,38.272,0.859,2.109,349,9.57,3.9916,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1472","Conimbriga","Pb metal","Roman",18.234,15.664,38.62,0.859,2.117,411,9.82,4.1436,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1473","Conimbriga","Pb metal","Roman",18.17,15.648,38.372,0.861,2.111,429,9.78,4.0472,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1474","Conimbriga","Pb metal","Roman",18.17,15.607,38.277,0.859,2.107,352,9.61,3.9805,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1475","Conimbriga","Pb metal","Roman",18.075,15.535,38.172,0.859,2.112,285,9.35,3.963,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1476","Conimbriga","Pb metal","Roman",18.125,15.617,38.395,0.862,2.118,405,9.66,4.0809,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1477","Conimbriga","Pb metal","Roman",18.21,15.651,38.411,0.859,2.109,405,9.78,4.0416,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1478","Conimbriga","Pb metal","Roman",18.251,15.643,38.379,0.857,2.103,360,9.73,3.9929,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1479","Conimbriga","Pb metal","Roman",18.18,15.64,38.394,0.86,2.112,407,9.74,4.0495,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1480","Conimbriga","Pb metal","Roman",18.164,15.637,38.368,0.861,2.112,413,9.73,4.0454,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1481","Conimbriga","Pb metal","Roman",18.186,15.647,38.398,0.86,2.111,415,9.77,4.0499,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1482","Conimbriga","Pb metal","Roman",18.152,15.611,38.387,0.86,2.115,374,9.63,4.0551,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.1483","Conimbriga","Pb metal","Roman",18.141,15.623,38.345,0.861,2.114,404,9.68,4.044,"Gomes et al., 2016","Ref.109",40.098864,-8.493918
"GDM.2844","San Esteban de Río Sil ","Cu metal","Bronze Age",18.463,15.629,38.453,0.846,2.083,173,9.63,3.8846,"Montero-Ruiz et al., 2016","Ref.111",42.413201,-7.652756
"GDM.2845","Santa Ana","Cu metal","Bronze Age",18.292,15.651,38.403,0.856,2.099,344,9.76,3.9801,"Montero-Ruiz et al., 2016","Ref.111",37.268965,-1.794853
"GDM.1571","Laurita","Silver","Bronze Age",18.309,15.657,38.47,0.855,2.101,343,9.78,4.0072,"Murillo-Barroso et al., 2016","Ref.112",36.734444,-3.689167
"GDM.1572","Laurita","Silver","Bronze Age",18.437,15.675,38.656,0.85,2.097,282,9.82,4.0254,"Murillo-Barroso et al., 2016","Ref.112",36.734444,-3.689167
"GDM.1573","La Ayuela","Silver","Bronze Age",18.221,15.617,38.366,0.857,2.106,333,9.64,3.9974,"Murillo-Barroso et al., 2016","Ref.112",39.321111,-6.384722
"GDM.1574","Palomar del Pintado","Silver","Bronze Age",18.576,15.67,38.771,0.844,2.087,169,9.77,3.9904,"Murillo-Barroso et al., 2016","Ref.112",39.414311,-3.341567
"GDM.1575","Can Canyis","Silver","Bronze Age",18.398,15.638,38.623,0.85,2.099,241,9.68,4.0213,"Murillo-Barroso et al., 2016","Ref.112",41.268889,1.559167
"GDM.1576","Poble Nou","Silver","Bronze Age",18.585,15.664,38.663,0.843,2.08,151,9.74,3.9266,"Murillo-Barroso et al., 2016","Ref.112",38.504167,-0.236666
"GDM.1577","Poble Nou","Silver","Bronze Age",18.754,15.669,38.74,0.835,2.066,34,9.73,3.859,"Murillo-Barroso et al., 2016","Ref.112",38.504167,-0.236666
"GDM.1578","Poble Nou","Silver","Bronze Age",18.638,15.666,38.824,0.841,2.083,115,9.74,3.9752,"Murillo-Barroso et al., 2016","Ref.112",38.504167,-0.236666
"GDM.1579","Cerro del Villar","Silver","Bronze Age",18.312,15.646,38.455,0.854,2.1,320,9.73,3.9932,"Murillo-Barroso et al., 2016","Ref.112",36.671944,-4.463611
"GDM.1580","Lagos","Silver","Bronze Age",18.321,15.662,38.571,0.855,2.105,343,9.79,4.0551,"Murillo-Barroso et al., 2016","Ref.112",36.743104,-4.014082
"GDM.1581","Jardín","Silver","Bronze Age",18.312,15.619,38.437,0.853,2.099,269,9.62,3.974,"Murillo-Barroso et al., 2016","Ref.112",36.742628,-4.117008
"GDM.1582","Toscanos","Silver","Bronze Age",18.428,15.647,38.612,0.849,2.095,235,9.71,3.9984,"Murillo-Barroso et al., 2016","Ref.112",36.735278,-4.114444
"GDM.1583","San Isidro Parking","Silver","Bronze Age",18.223,15.609,38.343,0.857,2.104,316,9.61,3.9806,"Murillo-Barroso et al., 2016","Ref.112",36.671944,-4.48
"GDM.1584","Coll del Moro Serra d'Almos","Silver","Bronze Age",18.319,15.649,38.477,0.854,2.1,321,9.74,4.0013,"Murillo-Barroso et al., 2016","Ref.112",41.068229,0.759401
"GDM.1585","Coll del Moro de Gandesa","Silver","Bronze Age",18.68,15.693,38.969,0.84,2.086,137,9.84,4.0311,"Murillo-Barroso et al., 2016","Ref.112",41.048052,0.386494
"GDM.1586","Coll del Moro Serra d'Almos","Silver","Bronze Age",18.544,15.684,38.765,0.846,2.09,220,9.83,4.0136,"Murillo-Barroso et al., 2016","Ref.112",41.068229,0.759401
"GDM.1587","Casa del Carpio","Silver","Bronze Age",18.485,15.758,39.029,0.852,2.111,400,10.14,4.2185,"Murillo-Barroso et al., 2016","Ref.112",39.803333,-4.985
"GDM.1588","Casa del Carpio","Silver","Bronze Age",18.309,15.611,38.501,0.853,2.103,255,9.59,4.0075,"Murillo-Barroso et al., 2016","Ref.112",39.803333,-4.985
"GDM.1625","Acinipo","Pb metal","Bronze Age",18.164,15.607,38.35,0.859,2.111,357,9.61,4.0249,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1626","Acinipo","Silver","Bronze Age",18.279,15.63,38.405,0.855,2.101,314,9.68,3.9832,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1627","Ronda","Cu metal","Bronze Age",18.297,15.647,38.46,0.855,2.102,333,9.74,4.0065,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1628","Ronda","Cu metal","Bronze Age",18.476,15.651,38.641,0.847,2.091,207,9.71,3.9827,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1629","Alcorrín","Cu metal","Bronze Age",18.492,15.662,38.629,0.847,2.089,217,9.75,3.9696,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1630","Alcorrín","Cu metal","Bronze Age",18.339,15.673,38.53,0.855,2.101,351,9.83,4.0245,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1631","Alcorrín","Cu metal","Bronze Age",18.467,15.664,38.651,0.848,2.093,239,9.77,3.9986,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1632","Alcorrín","Cu metal","Bronze Age",18.269,15.629,38.412,0.856,2.103,320,9.67,3.9935,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1633","Villa Vieja","Cu metal","Bronze Age",18.549,15.641,38.569,0.843,2.079,133,9.66,3.8934,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1634","Acinipo","Fe metal","Bronze Age",18.402,15.656,38.582,0.851,2.096,272,9.75,4.0033,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1635","Acinipo","Fe metal","Bronze Age",18.409,15.657,38.585,0.851,2.096,269,9.75,4.0005,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1636","Acinipo","Fe metal","Bronze Age",18.379,15.659,38.482,0.852,2.094,295,9.77,3.9667,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1637","Acinipo","Fe metal","Bronze Age",18.749,15.663,38.722,0.835,2.065,26,9.71,3.851,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1638","Acinipo","Fe metal","Bronze Age",18.778,15.693,38.664,0.836,2.059,64,9.82,3.8144,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1639","Acinipo","Fe metal","Bronze Age",18.412,15.665,38.602,0.851,2.097,282,9.78,4.0103,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1640","Alcorrín","Fe metal","Bronze Age",18.741,15.678,38.65,0.837,2.062,62,9.77,3.8252,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1641","Alcorrín","Fe metal","Bronze Age",18.539,15.667,38.656,0.845,2.085,191,9.76,3.9543,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1642","Alcorrín","Fe metal","Bronze Age",18.696,15.674,38.795,0.838,2.075,88,9.76,3.9255,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1643","Alcorrín","Fe metal","Bronze Age",18.524,15.67,38.66,0.846,2.087,208,9.78,3.9674,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1644","Alcorrín","Fe metal","Bronze Age",18.512,15.661,38.632,0.846,2.087,200,9.75,3.9576,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1645","Alcorrín","Fe metal","Bronze Age",18.52,15.673,38.587,0.846,2.083,217,9.79,3.9331,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1646","Alcorrín","Fe metal","Bronze Age",18.626,15.676,38.703,0.842,2.078,144,9.78,3.9247,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1647","Alcorrín","Fe metal","Bronze Age",18.587,15.677,38.816,0.843,2.088,175,9.79,4.0088,"Renzi et al., 2016","Ref.113",36.350173,-5.261294
"GDM.1671","Cabezo del Pino","unk","Roman",17.847,15.593,37.899,0.874,2.123,568,9.64,3.9906,"Baron et al., 2017","Ref.114",37.593768,-0.869029
"GDM.1672","Cabezo del Pino","unk","Roman",17.963,15.603,38.043,0.869,2.118,500,9.65,3.9937,"Baron et al., 2017","Ref.114",37.593768,-0.869029
"GDM.1673","Cabezo del Pino","unk","Roman",18.317,15.645,38.622,0.854,2.109,314,9.73,4.0793,"Baron et al., 2017","Ref.114",37.593768,-0.869029
"GDM.1674","Cabezo del Pino","unk","Roman",18.375,15.626,38.351,0.85,2.087,235,9.64,3.8881,"Baron et al., 2017","Ref.114",37.593768,-0.869029
"GDM.1675","Cabezo del Pino","unk","Roman",17.857,15.593,37.901,0.873,2.122,561,9.64,3.9845,"Baron et al., 2017","Ref.114",37.593768,-0.869029
"GDM.1676","Cabezo del Pino","Litharge","Roman",18.73,15.691,39.034,0.838,2.084,96,9.82,4.0302,"Baron et al., 2017","Ref.114",37.593768,-0.869029
"GDM.1677","Cabezo del Pino","Litharge","Roman",18.734,15.694,39.04,0.838,2.084,99,9.83,4.0317,"Baron et al., 2017","Ref.114",37.593768,-0.869029
"GDM.1678","Cabezo del Pino","Litharge","Roman",18.728,15.69,39.027,0.838,2.084,95,9.81,4.0276,"Baron et al., 2017","Ref.114",37.593768,-0.869029
"GDM.1679","Cabezo del Pino","Litharge","Roman",18.736,15.696,39.043,0.838,2.084,101,9.84,4.0326,"Baron et al., 2017","Ref.114",37.593768,-0.869029
"GDM.1680","Cabezo del Pino","Litharge","Roman",18.73,15.692,39.034,0.838,2.084,98,9.82,4.0306,"Baron et al., 2017","Ref.114",37.593768,-0.869029
"GDM.1681","Cabezo del Pino","Litharge","Roman",18.729,15.692,39.036,0.838,2.084,98,9.82,4.0322,"Baron et al., 2017","Ref.114",37.593768,-0.869029
"GDM.2836","El Pontarró","Cu metal","Iron Age",18.402,15.683,38.531,0.852,2.096,323,9.86,3.9857,"Belarte et al., 2017","Ref.115",41.229421,1.284092
"GDM.2837","El Pontarró","Cu metal","Iron Age",18.436,15.686,38.588,0.851,2.093,304,9.86,3.994,"Belarte et al., 2017","Ref.115",41.229421,1.284092
"GDM.2838","El Pontarró","Cu metal","Iron Age",18.351,15.689,38.551,0.855,2.107,371,9.89,4.0331,"Belarte et al., 2017","Ref.115",41.229421,1.284092
"GDM.1682",NA,"Pb metal","Roman",18.125,15.527,38.016,0.857,2.097,231,9.3,3.8394,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1683",NA,"Pb metal","Roman",18.417,15.629,38.729,0.849,2.103,209,9.64,4.0611,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1684",NA,"Pb metal","Roman",18.365,15.593,38.378,0.849,2.09,177,9.51,3.8974,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1685",NA,"Pb metal","Roman",18.416,15.586,38.328,0.846,2.081,124,9.47,3.8348,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1686",NA,"Pb metal","Roman",18.22,15.622,38.328,0.857,2.104,343,9.66,3.9791,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1687",NA,"Pb metal","Roman",18.481,15.662,38.592,0.847,2.088,225,9.76,3.9576,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1688",NA,"Pb metal","Roman",18.102,15.581,38.159,0.858,2.102,354,9.52,3.9534,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1689",NA,"Pb metal","Roman",18.407,15.652,38.705,0.848,2.096,261,9.73,4.0637,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1690",NA,"Pb metal","Roman",18.351,15.57,38.268,0.846,2.079,142,9.42,3.84,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1691",NA,"Pb metal","Roman",18.548,15.683,38.755,0.845,2.089,215,9.82,4.0054,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1692",NA,"Pb metal","Roman",18.436,15.654,38.549,0.849,2.091,243,9.73,3.9622,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1693",NA,"Pb metal","Roman",18.319,15.634,38.264,0.853,2.089,292,9.68,3.8816,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1694",NA,"Pb metal","Roman",18.2,15.582,38.164,0.856,2.097,282,9.5,3.8892,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1695",NA,"Pb metal","Roman",18.446,15.633,38.708,0.847,2.098,195,9.65,4.0316,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1696",NA,"Pb metal","Roman",18.282,15.575,38.33,0.852,2.096,205,9.46,3.9211,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1697",NA,"Pb metal","Roman",18.207,15.583,38.213,0.856,2.099,278,9.51,3.9115,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1698",NA,"Pb metal","Roman",18.185,15.6,38.06,0.858,2.093,328,9.58,3.8487,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1699",NA,"Pb metal","Roman",18.35,15.606,38.459,0.85,2.096,214,9.56,3.9553,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1700",NA,"Pb metal","Roman",18.178,15.65,38.495,0.854,2.101,427,9.78,4.11,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1701",NA,"Pb metal","Roman",18.352,15.698,38.983,0.849,2.107,387,9.93,4.2675,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1702",NA,"Pb metal","Roman",18.342,15.666,38.695,0.847,2.093,335,9.8,4.1085,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1703",NA,"Pb metal","Roman",18.483,15.621,38.634,0.845,2.09,143,9.6,3.9635,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1704",NA,"Pb metal","Roman",18.436,15.596,38.568,0.846,2.092,129,9.51,3.9513,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.1705",NA,"Pb metal","Roman",18.496,15.66,38.562,0.847,2.085,210,9.74,3.9313,"Gomes et al., 2017","Ref.116",39.260994,-8.560256
"GDM.2438","Bajo de la Campana","Sn metal","Bronze Age",19.712,15.239,37.516,0.773,1.903,-2044,8.11,2.6353,"Mederos et al., 2017","Ref.117",37.736273,-0.693083
"GDM.2439","Bajo de la Campana","Sn metal","Bronze Age",18.317,15.339,37.92,0.837,2.07,-351,8.56,3.5897,"Mederos et al., 2017","Ref.117",37.736273,-0.693083
"GDM.2440","Bajo de la Campana","Sn metal","Bronze Age",19.625,15.373,38.126,0.783,1.943,-1472,8.57,2.9849,"Mederos et al., 2017","Ref.117",37.736273,-0.693083
"GDM.2441","Bajo de la Campana","Sn metal","Bronze Age",18.527,15.353,38.215,0.829,2.063,-500,8.58,3.6153,"Mederos et al., 2017","Ref.117",37.736273,-0.693083
"GDM.1758","Balma del Duc  ","Cu metal","Bronze Age",18.545,15.687,38.637,0.846,2.083,226,9.84,3.9476,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1759","Cova del Cartanyà  ","Cu metal","Bronze Age",18.401,15.716,38.619,0.854,2.099,384,9.99,4.0443,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1760","Cau d’en Serra  ","Cu metal","Bronze Age",18.357,15.68,38.564,0.854,2.101,350,9.86,4.0325,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1761","Cova del Buldó  ","Cu metal","Bronze Age",18.704,15.695,38.84,0.839,2.077,122,9.84,3.9504,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1762","Cova de la Font Major","Cu metal","Bronze Age",18.473,15.685,38.688,0.849,2.094,275,9.85,4.0213,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1763","Cova de la Font Major","Cu metal","Bronze Age",18.195,15.628,38.503,0.859,2.116,372,9.69,4.094,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1764","Cova C-H del Cingle Blanc","Cu metal","Bronze Age",18.385,15.658,38.556,0.852,2.097,289,9.76,4.0019,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1765","Cova Josefina   ","Cu metal","Bronze Age",18.381,15.674,38.579,0.853,2.099,322,9.83,4.0224,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1766","Coveta de l´Heura  ","Cu metal","Bronze Age",18.683,15.7,38.574,0.84,2.065,147,9.86,3.8305,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1767","Coveta de l´Heura  ","Cu metal","Bronze Age",18.437,15.688,38.641,0.851,2.096,306,9.87,4.0219,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1768","Coveta de l´Heura  ","Cu metal","Bronze Age",18.421,15.69,38.624,0.852,2.097,322,9.88,4.0249,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1769","Coveta de l´Heura  ","Cu metal","Bronze Age",18.478,15.69,38.665,0.849,2.092,279,9.87,4.0074,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1770","Coveta de l´Heura  ","Pb metal","Bronze Age",18.318,15.685,38.502,0.856,2.102,387,9.88,4.0278,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1771","Cova M del Cingle Blanc","Cu metal","Bronze Age",18.503,15.699,38.691,0.848,2.091,278,9.9,4.0073,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1772","Cova M del Cingle Blanc","Cu metal","Bronze Age",18.49,15.671,38.684,0.848,2.092,236,9.79,4.0034,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1773","Cova de Porta Lloret ","Cu metal","Bronze Age",18.451,15.669,38.612,0.849,2.093,260,9.79,3.9906,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1774","Marçà    ","Cu metal","Bronze Age",18.852,15.697,38.895,0.833,2.063,15,9.82,3.884,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1775","Milmanda    ","Cu metal","Bronze Age",18.304,15.657,38.489,0.855,2.103,347,9.78,4.0206,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1776","Minferri    ","Cu metal","Bronze Age",18.52,15.706,38.827,0.848,2.096,280,9.92,4.0698,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1777","Minferri    ","Cu metal","Bronze Age",18.394,15.689,38.614,0.853,2.099,340,9.88,4.0376,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1778","Minferri    ","Cu metal","Bronze Age",18.303,15.643,38.462,0.855,2.101,321,9.72,4.0023,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1779","Rocallaura    ","Cu metal","Bronze Age",18.4,15.669,38.58,0.852,2.097,299,9.8,4.0083,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1780","Tossal de les Benes ","Cu metal","Bronze Age",18.378,15.686,38.575,0.854,2.099,346,9.87,4.0264,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1781","Turo de l´Avenc del Primo","Cu metal","Bronze Age",18.317,15.675,38.486,0.856,2.101,371,9.85,4.0169,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1782","Vapor Gorina   ","Cu metal","Bronze Age",18.685,15.69,38.962,0.84,2.085,127,9.82,4.0228,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1783","Vapor Gorina   ","Cu metal","Bronze Age",18.662,15.71,38.898,0.842,2.084,182,9.9,4.0125,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1784","Vapor Gorina   ","Cu metal","Bronze Age",18.42,15.68,38.638,0.851,2.098,305,9.84,4.0294,"Montero Ruiz, 2017","Ref.118",41.156436,1.110369
"GDM.1828","Cometa des Morts","Cu metal","Iron Age",18.542,15.69,38.742,0.846,2.089,233,9.85,4.0051,"Perelló Mateo, 2017","Ref.120",39.826631,2.848364
"GDM.1829","Es Morro ","Cu metal","Iron Age",18.668,15.698,38.881,0.841,2.083,155,9.86,3.9958,"Perelló Mateo, 2017","Ref.120",39.826631,2.848364
"GDM.1830","Sa Cova","Cu metal","Iron Age",18.718,15.699,38.88,0.839,2.077,120,9.85,3.9631,"Perelló Mateo, 2017","Ref.120",39.826631,2.848364
"GDM.1831","Cometa des Morts","Cu metal","Iron Age",18.736,15.725,39.056,0.839,2.085,157,9.95,4.0495,"Perelló Mateo, 2017","Ref.120",39.826631,2.848364
"GDM.1832","Cometa des Morts","Cu metal","Iron Age",18.578,15.687,38.795,0.844,2.088,201,9.83,4.0077,"Perelló Mateo, 2017","Ref.120",39.826631,2.848364
"GDM.1833","Cometa des Morts","Cu metal","Iron Age",18.653,15.688,38.836,0.841,2.082,146,9.82,3.9791,"Perelló Mateo, 2017","Ref.120",39.826631,2.848364
