"","code","sample","country","province","location","outcrop","decimallatitude","decimallongitude","sample.type","analysed.material","sample.details","main.ore","p206.204","p206.204.2sd","p207.204","p207.204.2sd","p208.204","p208.204.2sd","p207.206","p207.206.2sd","p208.206","p208.206.2sd","pb.content","u.content","model.age","mu","w","geological.zone","geol.age","host.rock","deposit.morphology","realm","excavation.no","find.spot","courtesy","period","chronology","tmod","mu12","kappa12","reference","ref.code","laboratory","spectrometry","observations","sample.type1"
"GDM.0676","GDM.0676","219–6","Spain","Badajoz",NA,"Retín",38.257424,-5.607526,"Mineral","Zn mineral","Sphalerite, Zn-(Pb)","Zn",17.805,NA,15.666,NA,38.312,NA,0.879865,NA,2.151755,NA,NA,NA,NA,NA,NA,"OMZ",NA,"Lenses in shales","strata-bound",NA,NA,NA,NA,NA,NA,727,9.9636,4.2888,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0677","GDM.0677","PAR–1","Spain","Badajoz",NA,"Nava-Paredón",38.02179,-5.189735,"Mineral","Galena","Galena, Zn-Cu-Pb","Cu-Zn",17.95,NA,15.57,NA,38.181,NA,0.867409,NA,2.127075,NA,NA,NA,NA,NA,NA,"OMZ","Late Tournaisian-Early Visean (340±5)","Felsic domes and related volcaniclastic rocks","massive sulfides",NA,NA,NA,NA,NA,NA,449,9.5181,4.0702,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0678","GDM.0678","N–13A","Spain","Badajoz",NA,"Nava-Paredón",38.02179,-5.189735,"Mineral","Fe mineral","Pyrite, Zn-Cu-Pb","Cu-Zn",17.931,NA,15.554,NA,38.031,NA,0.867436,NA,2.120964,NA,NA,NA,NA,NA,NA,"OMZ","Late Tournaisian-Early Visean (340±5)","Felsic domes and related volcaniclastic rocks","massive sulfides",NA,NA,NA,NA,NA,NA,433,9.4583,3.9927,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0679","GDM.0679","N–18","Spain","Badajoz",NA,"Nava-Paredón",38.02179,-5.189735,"Mineral","Cu mineral","Chalcopyrite, Zn-Cu-Pb","Cu-Zn",17.959,NA,15.561,NA,38.079,NA,0.866474,NA,2.12033,NA,NA,NA,NA,NA,NA,"OMZ","Late Tournaisian-Early Visean (340±5)","Felsic domes and related volcaniclastic rocks","massive sulfides",NA,NA,NA,NA,NA,NA,425,9.4792,4.0024,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0680","GDM.0680","NP–1","Spain","Badajoz",NA,"Nava-Paredón",38.02179,-5.189735,"Mineral","Galena","Galena, Zn-Cu-Pb","Cu-Zn",17.927,NA,15.542,NA,38.095,NA,0.86696,NA,2.125007,NA,NA,NA,NA,NA,NA,"OMZ","Late Tournaisian-Early Visean (340±5)","Felsic domes and related volcaniclastic rocks","massive sulfides",NA,NA,NA,NA,NA,NA,413,9.4108,4.0278,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0681","GDM.0681","HI–1","Spain","Badajoz",NA,"La Hinchona",38.094193,-6.25789,"Mineral","Cu mineral","Chalcopyrite, Cu, Zn-Pb","Cu-Zn",18.073,NA,15.588,NA,38.251,NA,0.862502,NA,2.116472,NA,NA,NA,NA,NA,NA,"OMZ","Variscan","Schists, graywackes (Serie Negra)","veins",NA,NA,NA,NA,NA,NA,390,9.5584,4.0275,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0682","GDM.0682","HI–2","Spain","Badajoz",NA,"La Hinchona",38.094193,-6.25789,"Mineral","Cu mineral","Chalcopyrite, Cu, Zn-Pb","Cu-Zn",18.046,NA,15.554,NA,38.148,NA,0.861908,NA,2.113931,NA,NA,NA,NA,NA,NA,"OMZ",NA,"Schists, graywackes (Serie Negra)","veins",NA,NA,NA,NA,NA,NA,345,9.4288,3.9769,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0683","GDM.0683","68–72–1","Spain","Badajoz",NA,"El Aguila (Monesterio)",38.094193,-6.25789,"Mineral","Galena","Galena, Cu, Zn-Pb","Cu-Zn",18.147,NA,15.553,NA,38.245,NA,0.857056,NA,2.107511,NA,NA,NA,NA,NA,NA,"OMZ",NA,"Schists, graywackes (Serie Negra)","veins",NA,NA,NA,NA,NA,NA,265,9.401,3.9596,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0684","GDM.0684","68–49–1","Spain","Badajoz",NA,"El Nogalito (Monesterio)",38.094193,-6.25789,"Mineral","Galena","Galena, Cu, Zn-Pb","Cu-Zn",18.123,NA,15.556,NA,38.253,NA,0.858357,NA,2.110743,NA,NA,NA,NA,NA,NA,"OMZ",NA,"Schists, graywackes (Serie Negra)","veins",NA,NA,NA,NA,NA,NA,290,9.4184,3.9818,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0685","GDM.0685","68–51–1","Spain","Badajoz",NA,"El Aguilar (Monesterio)",38.094193,-6.25789,"Mineral","Galena","Galena, Cu, Zn-Pb","Cu-Zn",18.097,NA,15.531,NA,38.134,NA,0.858209,NA,2.1072,NA,NA,NA,NA,NA,NA,"OMZ",NA,"Schists, graywackes (Serie Negra)","veins",NA,NA,NA,NA,NA,NA,260,9.3255,3.9251,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0686","GDM.0686","S–300","Spain","Badajoz",NA,"Colmenar",38.299965,-6.738941,"Mineral","Pb mineral","Sulphide, Fe-(Cu)","Fe",18.132,NA,15.562,NA,38.234,NA,0.858262,NA,2.108648,NA,NA,NA,NA,NA,NA,"OMZ","Late Vendian-Early Cambrian (332±3)","Marbles and calc-silicate hornfelses","calcic skarns and replacements",NA,NA,NA,NA,NA,NA,295,9.4401,3.9672,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0687","GDM.0687","AG–5","Spain","Huelva",NA,"Aguablanca",37.952225,-6.349367,"Mineral","Pb mineral","Sulphide, Ni-Cu","Cu-Ni",17.935,NA,15.602,NA,38.232,NA,0.869919,NA,2.131698,NA,NA,NA,NA,NA,NA,"OMZ","Variscan","Diorites to ultramafic rocks of Santa Olalla pluton","mafic-hosted",NA,NA,NA,NA,NA,NA,519,9.6531,4.1217,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0688","GDM.0688","AG–18","Spain","Huelva",NA,"Aguablanca",37.952225,-6.349367,"Mineral","Pb mineral","Sulphide, Ni-Cu","Cu-Ni",18.054,NA,15.576,NA,38.252,NA,0.862745,NA,2.118755,NA,NA,NA,NA,NA,NA,"OMZ",NA,"Diorites to ultramafic rocks of Santa Olalla pluton","mafic-hosted",NA,NA,NA,NA,NA,NA,381,9.515,4.0373,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0689","GDM.0689","AB–2","Spain","Huelva",NA,"Abundancia",37.952225,-6.349367,"Mineral","Cu mineral","Chalcopyrite, Zn-Cu-(Pb)","Cu-Zn",18.269,NA,15.605,NA,38.387,NA,0.854179,NA,2.10121,NA,NA,NA,NA,NA,NA,"OMZ","Variscan","Veins hosted by Serie Negra, Malcocinado Formation or Variscan igneous rocks","massive sulfides",NA,NA,NA,NA,NA,NA,274,9.5788,3.9714,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0690","GDM.0690","AB–6","Spain","Huelva",NA,"Abundancia",37.952225,-6.349367,"Mineral","Cu mineral","Chalcopyrite, Zn-Cu-(Pb)","Cu-Zn",18.425,NA,15.645,NA,38.615,NA,0.849118,NA,2.095794,NA,NA,NA,NA,NA,NA,"OMZ",NA,"Veins hosted by Serie Negra, Malcocinado Formation or Variscan igneous rocks","massive sulfides",NA,NA,NA,NA,NA,NA,234,9.7015,4.0012,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0691","GDM.0691","SU–10","Spain","Badajoz",NA,"Sultana",37.964019,-6.190952,"Mineral","Cu mineral","Chalcopyrite, Zn-Cu-(Pb)","Cu-Zn",18.296,NA,15.617,NA,38.534,NA,0.853575,NA,2.106143,NA,NA,NA,NA,NA,NA,"OMZ","313±13","Veins hosted by Serie Negra, Malcocinado Formation or Variscan igneous rocks","massive sulfides",NA,NA,NA,NA,NA,NA,277,9.6201,4.0364,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0692","GDM.0692","SU–21","Spain","Badajoz",NA,"Sultana",37.964019,-6.190952,"Mineral","Galena","Galena, Zn-Cu-(Pb)","Cu-Zn",18.438,NA,15.627,NA,38.782,NA,0.847543,NA,2.103373,NA,NA,NA,NA,NA,NA,"OMZ",NA,"Veins hosted by Serie Negra, Malcocinado Formation or Variscan igneous rocks","massive sulfides",NA,NA,NA,NA,NA,NA,189,9.6282,4.0738,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0693","GDM.0693","248–4","Spain","Badajoz",NA,"Matachel",38.650766,-6.171889,"Mineral","Galena","Galena, Zn-Pb-(Ba)","Pb-Zn",17.965,NA,15.654,NA,38.434,NA,0.871361,NA,2.139382,NA,NA,NA,NA,NA,NA,"OMZ","Variscan Late Carboniferous","Epiclastic sediments and shales","strata-bound",NA,NA,NA,NA,NA,NA,590,9.8592,4.2333,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0694","GDM.0694","SN–3","Spain","Badajoz",NA,"San Nicolás",38.809867,-6.218589,"Mineral","W mineral","Wolframite, Ba-Pb-(Cu)","Pb",18.317,NA,15.589,NA,38.463,NA,0.851067,NA,2.099853,NA,NA,NA,NA,NA,NA,"OMZ","300–280","Siliciclastic metasediments with contact metamorphism","strata-bound",NA,NA,NA,NA,NA,NA,206,9.5052,3.9737,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0695","GDM.0695","SN–4","Spain","Badajoz",NA,"San Nicolás",38.809867,-6.218589,"Mineral","W mineral","Wolframite, Ba-Pb-(Cu)","Pb",18.278,NA,15.587,NA,38.404,NA,0.852774,NA,2.101105,NA,NA,NA,NA,NA,NA,"OMZ",NA,"Siliciclastic metasediments with contact metamorphism","strata-bound",NA,NA,NA,NA,NA,NA,232,9.5058,3.968,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0696","GDM.0696","ESP–1","Spain","Córdoba",NA,"Espiel",38.214982,-5.06609,"Mineral","Fe mineral","Pyrite, Zn-(Pb)","Zn",18.398,NA,15.632,NA,38.46,NA,0.849658,NA,2.090445,NA,NA,NA,NA,NA,NA,"OMZ",NA,"Schists with contact metamorphism","strata-bound",NA,NA,NA,NA,NA,NA,229,9.6564,3.9328,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0697","GDM.0697","OR–1","Spain","Córdoba",NA,"Oropesa",38.257893,-5.315086,"Mineral","Fe mineral","Arsenopyrite, Mn","Mn",18.202,NA,15.63,NA,38.513,NA,0.858697,NA,2.115866,NA,NA,NA,NA,NA,NA,"OMZ","300–280","Replacement of Carboniferous detrital sediments or veins in nearby Ordovician quartzites","Volcano-sedimentary",NA,NA,NA,NA,NA,NA,372,9.6945,4.0957,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0698","GDM.0698","OR–2","Spain","Córdoba",NA,"Oropesa",38.257893,-5.315086,"Mineral","Cu mineral","Chalcopyrite, Mn","Mn",18.176,NA,15.634,NA,38.485,NA,0.860145,NA,2.117353,NA,NA,NA,NA,NA,NA,"OMZ",NA,"Replacement of Carboniferous detrital sediments or veins in nearby Ordovician quartzites","Volcano-sedimentary",NA,NA,NA,NA,NA,NA,399,9.7172,4.1003,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0699","GDM.0699","SM–1","Spain","Córdoba",NA,"Santa Marta",38.622077,-6.640634,"Mineral","Galena","Galena, Pb-Zn-(Ba-F)","Pb-Zn",18.216,NA,15.55,NA,38.172,NA,0.853645,NA,2.09552,NA,NA,NA,NA,NA,NA,"OMZ","300–280","0°–45° and 80°–100° trending veins in Azuaga Group","veins",NA,NA,NA,NA,NA,NA,206,9.374,3.8713,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0700","GDM.0700","SM–1a","Spain","Córdoba",NA,"Santa Marta",38.622077,-6.640634,"Mineral","Galena","Galena, Pb-Zn-(Ba-F)","Pb-Zn",18.229,NA,15.567,NA,38.229,NA,0.853969,NA,2.097153,NA,NA,NA,NA,NA,NA,"OMZ",NA,"0°–45° and 80°–100° trending veins in Azuaga Group","veins",NA,NA,NA,NA,NA,NA,230,9.4379,3.8996,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0701","GDM.0701","SM–2","Spain","Córdoba",NA,"Santa Marta",38.622077,-6.640634,"Mineral","Galena","Galena, Pb-Zn-(Ba-F)","Pb-Zn",18.166,NA,15.571,NA,38.203,NA,0.857151,NA,2.102995,NA,NA,NA,NA,NA,NA,"OMZ",NA,"0°–45° and 80°–100° trending veins in Azuaga Group","veins",NA,NA,NA,NA,NA,NA,286,9.4679,3.9299,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0702","GDM.0702","SM–2b","Spain","Córdoba",NA,"Santa Marta",38.622077,-6.640634,"Mineral","Galena","Galena, Pb-Zn-(Ba-F)","Pb-Zn",18.146,NA,15.546,NA,38.125,NA,0.856718,NA,2.101014,NA,NA,NA,NA,NA,NA,"OMZ",NA,"0°–45° and 80°–100° trending veins in Azuaga Group","veins",NA,NA,NA,NA,NA,NA,252,9.3736,3.8918,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0703","GDM.0703","213–2","Spain","Badajoz",NA,"Afortunada",38.577927,-6.201752,"Mineral","Galena","Galena, Pb-Zn-(Ba-F)","Pb-Zn",18.159,NA,15.611,NA,38.407,NA,0.859684,NA,2.115039,NA,NA,NA,NA,NA,NA,"OMZ",NA,"0°–45° and 80°–100° trending veins in Azuaga Group","veins",NA,NA,NA,NA,NA,NA,368,9.629,4.0612,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0704","GDM.0704","213–10","Spain","Badajoz",NA,"Afortunada",38.577927,-6.201752,"Mineral","Galena","Galena, Pb-Zn-(Ba-F)","Pb-Zn",18.158,NA,15.607,NA,38.395,NA,0.859511,NA,2.114495,NA,NA,NA,NA,NA,NA,"OMZ",NA,"0°–45° and 80°–100° trending veins in Azuaga Group","veins",NA,NA,NA,NA,NA,NA,361,9.6133,4.0539,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0705","GDM.0705","213–10a","Spain","Badajoz",NA,"Afortunada",38.577927,-6.201752,"Mineral","Galena","Galena, Pb-Zn-(Ba-F)","Pb-Zn",18.136,NA,15.578,NA,38.3,NA,0.858955,NA,2.111822,NA,NA,NA,NA,NA,NA,"OMZ",NA,"0°–45° and 80°–100° trending veins in Azuaga Group","veins",NA,NA,NA,NA,NA,NA,323,9.5028,4.0066,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0706","GDM.0706","215–4","Spain","Badajoz",NA,"Arroyo Conejo",38.371564,-5.880014,"Mineral","Galena","Galena, Pb-Zn-(Ba-F)","Pb-Zn",18.2,NA,15.596,NA,38.43,NA,0.856923,NA,2.111538,NA,NA,NA,NA,NA,NA,"OMZ",NA,"0°–45° and 80°–100° trending veins in Azuaga Group","veins",NA,NA,NA,NA,NA,NA,309,9.5591,4.0395,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0707","GDM.0707","215–4a","Spain","Badajoz",NA,"Arroyo Conejo",38.371564,-5.880014,"Mineral","Galena","Galena, Pb-Zn-(Ba-F)","Pb-Zn",18.209,NA,15.606,NA,38.459,NA,0.857049,NA,2.112087,NA,NA,NA,NA,NA,NA,"OMZ",NA,"0°–45° and 80°–100° trending veins in Azuaga Group","veins",NA,NA,NA,NA,NA,NA,321,9.5968,4.0526,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0708","GDM.0708","CEN–1","Spain","Jaen",NA,"Centenillo",38.371564,-5.880014,"Mineral","Galena","Galena, Zn-Cu-(Pb)","Cu-Zn",18.201,NA,15.616,NA,38.443,NA,0.857975,NA,2.112137,NA,NA,NA,NA,NA,NA,"NIM","ca.220",NA,"massive sulfides",NA,NA,NA,NA,NA,NA,346,9.6386,4.0531,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0709","GDM.0709","CEN–2","Spain","Jaen",NA,"Centenillo",38.371564,-5.880014,"Mineral","Galena","Galena, Zn-Cu-(Pb)","Cu-Zn",18.241,NA,15.62,NA,38.465,NA,0.856313,NA,2.108711,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,"massive sulfides",NA,NA,NA,NA,NA,NA,324,9.6449,4.0385,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0710","GDM.0710","AS–1041","Spain","Jaen",NA,"Asturiana",38.371564,-5.880014,"Mineral","Galena","Galena, Zn-Cu-(Pb)","Cu-Zn",18.456,NA,15.639,NA,38.752,NA,0.847367,NA,2.099697,NA,NA,NA,NA,NA,NA,"NIM","145 ±18",NA,"massive sulfides",NA,NA,NA,NA,NA,NA,199,9.6713,4.0501,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0711","GDM.0711","AS–1042","Spain","Jaen",NA,"Asturiana",38.371564,-5.880014,"Mineral","Galena","Galena, Zn-Cu-(Pb)","Cu-Zn",18.471,NA,15.654,NA,38.798,NA,0.847491,NA,2.100482,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,"massive sulfides",NA,NA,NA,NA,NA,NA,217,9.7269,4.0695,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0712","GDM.0712","HIE–1","Spain","Guadalajara",NA,"Hiendelaencina",41.078003,-3.011439,"Mineral","Galena","Galena, Zn-Cu-(Pb)","Cu-Zn",18.456,NA,15.65,NA,38.698,NA,0.847963,NA,2.096771,NA,NA,NA,NA,NA,NA,"NIM","Early Alpine",NA,"massive sulfides",NA,NA,NA,NA,NA,NA,220,9.7144,4.0257,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0713","GDM.0713","PC–1","Spain","Badajoz",NA,"Orthoamphibolite Montemolin Formation",38.371564,-5.880014,"WR","Whole rock",NA,NA,18.054,NA,15.529,NA,37.874,NA,0.860142,NA,2.097818,NA,NA,NA,NA,NA,NA,"OMZ","Late Neoproterozoic",NA,NA,NA,NA,NA,NA,NA,NA,290,9.3274,3.8095,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0714","GDM.0714","BP–130","Spain","Badajoz",NA,"Burguillos",38.379372,-6.604602,"WR","Whole rock","granodiorite",NA,18.371,NA,15.586,NA,38.12,NA,0.848402,NA,2.07501,NA,NA,NA,NA,NA,NA,"OMZ","338 ± 2",NA,NA,NA,NA,NA,NA,NA,NA,159,9.4822,3.7541,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0715","GDM.0715","BP–130R","Spain","Badajoz",NA,"Burguillos",38.379372,-6.604602,"WR","Whole rock","granodiorite",NA,18.343,NA,15.585,NA,38.072,NA,0.849643,NA,2.07556,NA,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,178,9.484,3.7463,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0716","GDM.0716","BRO–130","Spain","Badajoz",NA,"Brovales",38.337562,-6.69103,"WR","Whole rock","tonalite",NA,18.205,NA,15.555,NA,37.956,NA,0.854436,NA,2.084922,NA,NA,NA,NA,NA,NA,"OMZ","340 ± 7",NA,NA,NA,NA,NA,NA,NA,NA,225,9.396,3.7631,"Tornos & Chiaradia, 2004","Ref.040","U.  Geneva","TIMS",NA,"Geological"
"GDM.0717","GDM.0717","ETD-2","Spain","Ciudad Real","Almadenejos","El Entredicho",38.727734,-4.666547,"Mineral","Hg mineral","Cinnabar","Hg",18.266,0.061,15.641,0.06,38.531,0.062,0.85629,NA,2.10944,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,345,9.7226,4.0643,"Higueras et al., 2005","Ref.041","U. Sao Paulo","TIMS",NA,"Geological"
"GDM.0718","GDM.0718","ETD-2A4","Spain","Ciudad Real","Almadenejos","El Entredicho",38.727734,-4.666547,"Mineral","unk","Leachate","Hg",18.132,0.073,15.653,0.057,38.684,0.059,0.86328,NA,2.13347,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,466,9.806,4.2492,"Higueras et al., 2005","Ref.041","U. Sao Paulo","TIMS","Result of cinnabar leachate","Geological"
"GDM.0719","GDM.0719","ETD-2A5","Spain","Ciudad Real","Almadenejos","El Entredicho",38.727734,-4.666547,"Mineral","unk","Leachate","Hg",18.399,0.006,15.68,0.006,38.667,0.006,0.85222,NA,2.10158,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,320,9.846,4.059,"Higueras et al., 2005","Ref.041","U. Sao Paulo","TIMS","Result of cinnabar leachate","Geological"
"GDM.0720","GDM.0720","ETD-2A6","Spain","Ciudad Real","Almadenejos","El Entredicho",38.727734,-4.666547,"Mineral","unk","Leachate","Hg",18.326,0.067,15.654,0.073,38.543,0.069,0.8542,NA,2.10319,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,325,9.7599,4.0338,"Higueras et al., 2005","Ref.041","U. Sao Paulo","TIMS",NA,"Geological"
"GDM.0721","GDM.0721","ETD-2B1","Spain","Ciudad Real","Almadenejos","El Entredicho",38.727734,-4.666547,"Mineral","unk","Leachate","Hg",18.429,0.016,15.705,0.017,38.73,0.017,0.85219,NA,2.10158,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,344,9.9385,4.0806,"Higueras et al., 2005","Ref.041","U. Sao Paulo","TIMS","Result of cinnabar leachate","Geological"
"GDM.0722","GDM.0722","ETD-2B2","Spain","Ciudad Real","Almadenejos","El Entredicho",38.727734,-4.666547,"Mineral","unk","Leachate","Hg",18.346,0.04,15.635,0.043,38.555,0.043,0.85223,NA,2.10155,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,274,9.6798,4.0197,"Higueras et al., 2005","Ref.041","U. Sao Paulo","TIMS","Result of cinnabar leachate","Geological"
"GDM.0723","GDM.0723","ETD-2B3","Spain","Ciudad Real","Almadenejos","El Entredicho",38.727734,-4.666547,"Mineral","unk","Leachate","Hg",18.37,0.044,15.686,0.045,38.714,0.046,0.85389,NA,2.10746,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,352,9.877,4.1063,"Higueras et al., 2005","Ref.041","U. Sao Paulo","TIMS","Result of cinnabar leachate","Geological"
"GDM.0724","GDM.0724","ETD-2B4","Spain","Ciudad Real","Almadenejos","El Entredicho",38.727734,-4.666547,"Mineral","unk","Leachate","Hg",18.409,0.047,15.675,0.041,38.757,0.044,0.85149,NA,2.10533,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,303,9.8238,4.0982,"Higueras et al., 2005","Ref.041","U. Sao Paulo","TIMS","Result of cinnabar leachate","Geological"
"GDM.0725","GDM.0725","ETD-2B5","Spain","Ciudad Real","Almadenejos","El Entredicho",38.727734,-4.666547,"Mineral","unk","Leachate","Hg",18.324,0.018,15.675,0.019,38.654,0.019,0.85544,NA,2.10947,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,365,9.8444,4.1023,"Higueras et al., 2005","Ref.041","U. Sao Paulo","TIMS","Result of cinnabar leachate","Geological"
"GDM.0726","GDM.0726","ETD-2B6","Spain","Ciudad Real","Almadenejos","El Entredicho",38.727734,-4.666547,"Mineral","unk","Leachate","Hg",18.342,0.087,15.662,0.087,38.55,0.088,0.85389,NA,2.10173,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,328,9.788,4.0293,"Higueras et al., 2005","Ref.041","U. Sao Paulo","TIMS",NA,"Geological"
"GDM.0727","GDM.0727","ETD-1","Spain","Ciudad Real","Almadenejos","El Entredicho",38.727734,-4.666547,"Mineral","Hg mineral","Cinnabar","Hg",18.357,0.092,15.663,0.081,38.577,0.083,0.85324,NA,2.10149,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,319,9.7884,4.0338,"Higueras et al., 2005","Ref.041","U. Sao Paulo","TIMS",NA,"Geological"
"GDM.0728","GDM.0728","LC-10","Spain","Ciudad Real","Almadén","Las Cuevas",38.813623,-4.762593,"Mineral","Hg mineral","Cinnabar","Hg",18.112,0.096,15.663,0.086,38.643,0.096,0.86479,NA,2.13356,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,499,9.8524,4.2448,"Higueras et al., 2005","Ref.041","U. Sao Paulo","TIMS",NA,"Geological"
"GDM.0729","GDM.0729","ALMD-3","Spain","Ciudad Real","Almadén","Almadén",38.775271,-4.849131,"Mineral","Hg mineral","Cinnabar","Hg",18.46,0.016,15.681,0.016,38.826,0.017,0.84946,NA,2.10325,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,277,9.8357,4.1015,"Higueras et al., 2005","Ref.041","U. Sao Paulo","TIMS",NA,"Geological"
"GDM.0730","GDM.0730","SVC4/C10","Spain","Ciudad Real","Almadén","Almadén",38.775271,-4.849131,"WR","Whole rock","<U+FEFF>Hydrothermally metamorphosed mafic volcanic rocks",NA,19.364,0.01,15.768,0.011,39.488,0.011,0.81429,NA,2.03925,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,-221,10.0044,3.8796,"Higueras et al., 2005","Ref.041","U. Sao Paulo","TIMS",NA,"Geological"
"GDM.0731","GDM.0731","SNC1/C15","Spain","Ciudad Real","Almadén","Almadén",38.775271,-4.849131,"WR","Whole rock","<U+FEFF>Hydrothermally metamorphosed mafic volcanic rocks",NA,19.266,0.012,15.72,0.012,39.419,0.012,0.81595,NA,2.04604,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,-248,9.8396,3.8887,"Higueras et al., 2005","Ref.041","U. Sao Paulo","TIMS",NA,"Geological"
