"","code","sample","country","province","location","outcrop","decimallatitude","decimallongitude","sample.type","analysed.material","sample.details","main.ore","p206.204","p206.204.2sd","p207.204","p207.204.2sd","p208.204","p208.204.2sd","p207.206","p207.206.2sd","p208.206","p208.206.2sd","pb.content","u.content","model.age","mu","w","geological.zone","geol.age","host.rock","deposit.morphology","realm","excavation.no","find.spot","courtesy","period","chronology","tmod","mu12","kappa12","reference","ref.code","laboratory","spectrometry","observations","sample.type1"
"GDM.0080","GDM.0080","179/26","Spain","Jaén","Santa Elena","Ojo Vecino",38.339702,-3.522492,"Mineral","Galena","Ba-Cu-Zn-Pb-(Ag)","Cu-Pb",18.556,0.057,16.041,0.05,39.318,0.106,0.86446,NA,2.11888,NA,NA,NA,NA,NA,NA,"NIM",NA,"Granitoide",NA,NA,NA,NA,NA,NA,NA,809,11.2988,4.4143,"ENADIMSA, 1971","Ref.006","U. Clermont-Ferrand","TIMS","Published in Lillo, 1992. Laboratory information from Marcoux & Pin, com.pers","Geological"
"GDM.0016","GDM.0016","C105B","Spain","Jaén","La Carolina",NA,38.296034,-3.598455,"Mineral","Galena",NA,"Pb",18.21,NA,15.62,NA,38.49,NA,0.8578,NA,2.1137,NA,NA,NA,NA,NA,NA,"NIM","Phanerozoic",NA,NA,NA,NA,NA,NA,NA,NA,347,9.6524,4.0739,"Doe, 1976","Ref.007","Data compilation","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological"
"GDM.0017","GDM.0017","C106","Spain","Huelva","Huelva",NA,37.678668,-6.559116,"Mineral","Galena",NA,"Cu",18.28,NA,15.59,NA,38.4,NA,0.8533,NA,2.1018,NA,NA,NA,NA,NA,NA,"SPZ","Phanerozoic",NA,NA,NA,NA,NA,NA,NA,NA,236,9.5171,3.9655,"Doe, 1976","Ref.007","Data compilation","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological"
"GDM.0018","GDM.0018","C105A","Spain","Jaén","La Carolina",NA,38.296034,-3.598455,"Mineral","Galena",NA,"Pb",18.27,NA,15.65,NA,38.72,NA,0.8566,NA,2.1193,NA,NA,NA,NA,NA,NA,"NIM","Phanerozoic",NA,NA,NA,NA,NA,NA,NA,NA,359,9.7577,4.1673,"Doe, 1976","Ref.007","Data compilation","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological"
"GDM.0019","GDM.0019","C107","Spain","Jaén","La Carolina",NA,38.296034,-3.598455,"Mineral","Galena",NA,"Pb",18.35,NA,15.72,NA,38.8,NA,0.8567,NA,2.1144,NA,NA,NA,NA,NA,NA,"NIM","Phanerozoic",NA,NA,NA,NA,NA,NA,NA,NA,428,10.019,4.1784,"Doe, 1976","Ref.007","Data compilation","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological"
"GDM.0020","GDM.0020","T330","Spain","Badajoz","Hornachos",NA,38.55883,-6.057684,"Mineral","Galena",NA,"Pb",18.39,NA,16.03,NA,38.76,NA,0.8717,NA,2.1077,NA,NA,NA,NA,NA,NA,"OMZ","Phanerozoic",NA,NA,NA,NA,NA,NA,NA,NA,898,11.3187,4.2271,"Doe, 1976","Ref.007","Data compilation","TIMS","Geol.age in Doe, B.R., Rohrbourg, R., 1977 ","Geological"
"GDM.0021","GDM.0021",NA,"Spain","Jaén","La Carolina","La Carolina. Los Linares",38.296034,-3.598455,"Mineral","Galena",NA,NA,18.258,NA,15.671,NA,38.525,NA,0.85833,NA,2.11006,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,406,9.8451,4.0773,"Gale, 1980","Ref.008","U. Oxford","TIMS","Cited in Dayton and Dayton, 1986","Geological"
"GDM.0022","GDM.0022",NA,"Spain","Huelva","Rio Tinto","Corta Lago",37.715398,-6.583105,"Mineral","Fe mineral","Jarosite, Ore",NA,18.317,NA,15.625,NA,38.431,NA,0.85303,NA,2.0981,NA,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,276,9.6469,3.9695,"Craddock et al., 1985","Ref.009","U. Oxford","TIMS",NA,"Geological"
"GDM.0030","GDM.0030","BM.1921,480","Spain","Almeria","Cuevas de Almanzora","S. Almagrera",37.28641,-1.751886,"Mineral","Galena",NA,"Pb",18.758,NA,15.687,NA,39.025,NA,0.8363,NA,2.0804,NA,NA,NA,NA,NA,NA,"BC",NA,NA,NA,NA,NA,NA,NA,NA,NA,67,9.7972,4.0058,"Dayton and Dayton, 1986","Ref.010","NBS, Maryland;  U. Oxford","TIMS",NA,"Geological"
"GDM.0031","GDM.0031",NA,"Spain","Murcia","Cartagena","Alerta Mine",37.605528,-0.842307,"Mineral","Galena",NA,"Pb",17.899,NA,14.996,NA,37.31,NA,0.8378,NA,2.0845,NA,NA,NA,NA,NA,NA,"BC",NA,NA,NA,NA,NA,NA,NA,NA,NA,-935,7.3625,3.3802,"Dayton and Dayton, 1986","Ref.010","NBS, Maryland;  U. Oxford","TIMS",NA,"Geological"
"GDM.0032","GDM.0032","BM.1921,478","Spain","Córdoba","Posadas","Santa Barbara Mine",37.844217,-5.095712,"Mineral","Galena",NA,"Pb",18.212,NA,15.589,NA,38.173,NA,0.856,NA,2.0961,NA,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,286,9.5286,3.8885,"Dayton and Dayton, 1986","Ref.010","NBS, Maryland;  U. Oxford","TIMS",NA,"Geological"
"GDM.0033","GDM.0033","BM.46656a","Spain","Granada","Adra",NA,37.193912,-3.568441,"Mineral","Galena",NA,"Pb",18.195,NA,15.586,NA,38.171,NA,0.8566,NA,2.0979,NA,NA,NA,NA,NA,NA,"BC",NA,NA,NA,NA,NA,NA,NA,NA,NA,293,9.5206,3.8978,"Dayton and Dayton, 1986","Ref.010","NBS, Maryland;  U. Oxford","TIMS",NA,"Geological"
"GDM.0034","GDM.0034","BM.1927,103","Spain","Almeria","Laujar","Los Belgas Mine, S. Gador",36.951676,-2.510098,"Mineral","Galena",NA,"Pb",18.339,NA,15.674,NA,38.531,NA,0.8547,NA,2.1011,NA,NA,NA,NA,NA,NA,"BC",NA,NA,NA,NA,NA,NA,NA,NA,NA,352,9.8366,4.0254,"Dayton and Dayton, 1986","Ref.010","NBS, Maryland;  U. Oxford","TIMS",NA,"Geological"
