"code","analysed.material","geological.zone","main.ore","p206.204","p207.204","p208.204","p207.206","p208.206","tmod","mu12","kappa12","reference","ref.code","decimallatitude","decimallongitude"
"GDM.0096","Pb mineral","SPZ","Cu-Pb",18.188,15.636,38.211,0.86,2.101,393,9.72,3.9419,"Marcoux et al,1992","Ref.014",37.70455,-6.598663
"GDM.0097","Pb mineral","SPZ","Cu-Pb",18.191,15.627,38.207,0.859,2.1,374,9.69,3.9345,"Marcoux et al,1992","Ref.014",37.70455,-6.598663
"GDM.0098","Pb mineral","SPZ","Cu-Pb",18.198,15.644,38.275,0.86,2.103,401,9.75,3.9729,"Marcoux et al,1992","Ref.014",37.70455,-6.598663
"GDM.0099","Pb mineral","SPZ","Cu-Pb",18.192,15.64,38.257,0.86,2.103,398,9.74,3.9658,"Marcoux et al,1992","Ref.014",37.70455,-6.598663
"GDM.0100","Pb mineral","SPZ","Cu-Pb",18.18,15.615,38.162,0.859,2.099,360,9.64,3.9132,"Marcoux et al,1992","Ref.014",37.70455,-6.598663
"GDM.0101","Pb mineral","SPZ","Cu-Pb",18.188,15.609,38.158,0.858,2.098,343,9.61,3.9035,"Marcoux et al,1992","Ref.014",37.775773,-6.677935
"GDM.0102","Pb mineral","SPZ","Cu-Pb",18.188,15.609,38.158,0.858,2.098,343,9.61,3.9035,"Marcoux et al,1992","Ref.014",37.800326,-6.972518
"GDM.0103","Pb mineral","SPZ","Cu-Pb",18.192,15.594,38.106,0.857,2.095,311,9.55,3.8671,"Marcoux et al,1992","Ref.014",37.800326,-6.972518
"GDM.0104","Pb mineral","SPZ","Cu-Pb",18.183,15.604,38.135,0.858,2.097,337,9.6,3.8926,"Marcoux et al,1992","Ref.014",37.800326,-6.972518
"GDM.0105","Pb mineral","SPZ","Cu-Pb",18.188,15.627,38.19,0.859,2.1,377,9.69,3.9273,"Marcoux et al,1992","Ref.014",37.668632,-7.498661
"GDM.0106","Pb mineral","SPZ","Cu-Pb",18.233,15.624,38.181,0.857,2.094,337,9.66,3.8908,"Marcoux et al,1992","Ref.014",37.668632,-7.498661
"GDM.0107","Pb mineral","SPZ","Cu-Pb",18.215,15.638,38.256,0.859,2.1,377,9.72,3.9488,"Marcoux et al,1992","Ref.014",37.668632,-7.498661
"GDM.0108","Pb mineral","SPZ","Cu-Pb",18.135,15.597,38.15,0.86,2.104,360,9.58,3.9312,"Marcoux et al,1992","Ref.014",37.606562,-7.101575
"GDM.0109","Pb mineral","SPZ","Cu-Pb",18.137,15.602,38.162,0.86,2.104,368,9.6,3.9382,"Marcoux et al,1992","Ref.014",37.606562,-7.101575
"GDM.0110","Pb mineral","SPZ","Cu-Pb",18.175,15.634,38.225,0.86,2.103,399,9.72,3.9578,"Marcoux et al,1992","Ref.014",37.596711,-6.894639
