"","code","sample","country","province","location","outcrop","decimallatitude","decimallongitude","sample.type","analysed.material","sample.details","main.ore","p206.204","p206.204.2sd","p207.204","p207.204.2sd","p208.204","p208.204.2sd","p207.206","p207.206.2sd","p208.206","p208.206.2sd","pb.content","u.content","model.age","mu","w","geological.zone","geol.age","host.rock","deposit.morphology","realm","excavation.no","find.spot","courtesy","period","chronology","tmod","mu12","kappa12","reference","ref.code","laboratory","spectrometry","observations","sample.type1","geol.zone"
"GDM.1365","GDM.1365","MIDAS 487","Spain","Sevilla","11","Valencina de la Concepción",37.412862,-6.06651,"Archaeological artefacts","Gold","Gold Leaf",NA,18.354,0.016,15.66,0.013,38.506,0.034,0.853,0,2.098,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age","3rd Millennium BC",315,9.7771,3.9968,"Nocete et al.2014","Ref.095","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.1366","GDM.1366","MIDAS 505","Spain","Sevilla","Valencina de la Concepción","Valencina de la Concepción",37.412862,-6.06651,"Archaeological artefacts","Gold","Casting spill",NA,18.453,0.019,15.663,0.017,38.585,0.042,0.848,0,2.091,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age","3rd Millennium BC",248,9.7662,3.973,"Nocete et al.2014","Ref.095","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.1367","GDM.1367","MIDAS 436","Spain","Huelva","Cala ","La Sultana  ",37.952484,-6.345832,"Mineral","Gold","Au","Cu",18.519,0.001,15.65,0.001,38.501,0.003,0.845,0,2.079,0,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,173,9.701,3.8809,"Nocete et al.2014","Ref.095","UPV/EHU, Leioa","MC-ICPMS",NA,"Geological","Ossa Morena Zone"
"GDM.1368","GDM.1368","CM-4362","Spain","Almeria","Adra","Abdera",36.761148,-3.002462,"Archaeological artefacts","Cu metal","Amorfo Base Cu",NA,18.5547,6e-04,15.6808,6e-04,38.7275,0.0015,0.84511,1e-05,2.08721,3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age","VIII A. C.",206,9.8139,3.9859,"Carpintero et al., 2015","Ref.096","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.1369","GDM.1369","CM-4050","Spain","Almeria","Adra","Abdera",36.761148,-3.002462,"Archaeological artefacts","Pb metal","Goterón Pb",NA,18.3456,5e-04,15.6819,5e-04,38.5611,0.0014,0.85481,1e-05,2.10193,3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age","VIII A. C.",362,9.8666,4.0398,"Carpintero et al., 2015","Ref.096","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.1370","GDM.1370","CM-4205","Spain","Almeria","Adra","Abdera",36.761148,-3.002462,"Archaeological artefacts","Galena","Galena",NA,18.3444,6e-04,15.6809,6e-04,38.5554,0.0016,0.85481,1e-05,2.10175,4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age","VIII A. C.",361,9.8629,4.0372,"Carpintero et al., 2015","Ref.096","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.1371","GDM.1371","CM-15132","Spain","Almeria","Adra","Abdera",36.761148,-3.002462,"Archaeological artefacts","Cu metal","Clavo Base Cu",NA,18.6476,6e-04,15.6745,5e-04,38.7672,0.0014,0.84056,1e-05,2.07894,3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age","VII A. C.",125,9.7702,3.9429,"Carpintero et al., 2015","Ref.096","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.1372","GDM.1372","CM-3229","Spain","Almeria","Adra","Abdera",36.761148,-3.002462,"Archaeological artefacts","Pb metal","Goterón Pb",NA,18.3454,8e-04,15.6816,8e-04,38.5623,0.002,0.8548,1e-05,2.10201,4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age","VI A. C.",362,9.8655,4.0404,"Carpintero et al., 2015","Ref.096","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.1373","GDM.1373","CM-3763","Spain","Almeria","Adra","Abdera",36.761148,-3.002462,"Archaeological artefacts","Pb metal","Goterón Pb",NA,18.3454,5e-04,15.6813,5e-04,38.558,0.0014,0.85478,1e-05,2.10179,3e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age","VI A. C.",361,9.8643,4.038,"Carpintero et al., 2015","Ref.096","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.1374","GDM.1374","CM-3746","Spain","Almeria","Adra","Abdera",36.761148,-3.002462,"Archaeological artefacts","Pb metal","Goterón Pb",NA,18.3458,8e-04,15.6809,7e-04,38.5583,0.0019,0.85474,1e-05,2.10175,4e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age","IV A. C.",360,9.8626,4.0378,"Carpintero et al., 2015","Ref.096","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2873","GDM.2873","2","Spain","Jaen",NA,"Cerro de las Albahacas",38.014377,-3.132474,"Archaeological artefacts","Cu metal","As sextantal ",NA,18.773,NA,15.693,NA,38.971,NA,0.83594,NA,2.07591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman","post 211 aC",68,9.8175,3.9712,"García-Bellido et al., 2015","Ref.097","U. Tübingen","MC-ICPMS",NA,"Archaeological",NA
"GDM.2874","GDM.2874","3","Spain","Jaen",NA,"Cerro de las Albahacas",38.014377,-3.132474,"Archaeological artefacts","Cu metal","As sextantal ",NA,18.613,NA,15.675,NA,38.81,NA,0.84214,NA,2.0851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman","post 211 aC",152,9.7791,3.9877,"García-Bellido et al., 2015","Ref.097","U. Tübingen","MC-ICPMS",NA,"Archaeological",NA
"GDM.2875","GDM.2875","4","Spain","Jaen",NA,"Cerro de las Albahacas",38.014377,-3.132474,"Archaeological artefacts","Silver","Cartagonova ",NA,18.64,NA,15.681,NA,38.892,NA,0.84126,NA,2.0865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,143,9.797,4.014,"García-Bellido et al., 2015","Ref.097","U. Tübingen","MC-ICPMS",NA,"Archaeological",NA
"GDM.2876","GDM.2876","5","Spain","Jaen",NA,"Cerro de las Albahacas",38.014377,-3.132474,"Archaeological artefacts","Cu metal","Akra Leuke (Carmona?) ",NA,18.251,NA,15.651,NA,38.34,NA,0.85754,NA,2.1007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,375,9.7664,3.9745,"García-Bellido et al., 2015","Ref.097","U. Tübingen","MC-ICPMS",NA,"Archaeological",NA
"GDM.2877","GDM.2877","7","Spain","Jaen",NA,"Cerro de las Albahacas",38.014377,-3.132474,"Archaeological artefacts","Cu metal","Akra Leuke (Carmona?)",NA,18.216,NA,15.64,NA,38.266,NA,0.85857,NA,2.1007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,380,9.7311,3.9542,"García-Bellido et al., 2015","Ref.097","U. Tübingen","MC-ICPMS",NA,"Archaeological",NA
"GDM.2878","GDM.2878","9","Spain","Jaen",NA,"Cerro de las Albahacas",38.014377,-3.132474,"Archaeological artefacts","Cu metal","Akra Leuke (Carmona?) ",NA,18.215,NA,15.64,NA,38.266,NA,0.85863,NA,2.1008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,381,9.7313,3.9549,"García-Bellido et al., 2015","Ref.097","U. Tübingen","MC-ICPMS",NA,"Archaeological",NA
"GDM.2879","GDM.2879","13","Spain","Jaen",NA,"Cerro de las Albahacas",38.014377,-3.132474,"Archaeological artefacts","Cu metal","SW unidad ",NA,18.208,NA,15.639,NA,38.255,NA,0.85892,NA,2.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,384,9.7291,3.9534,"García-Bellido et al., 2015","Ref.097","U. Tübingen","MC-ICPMS",NA,"Archaeological",NA
"GDM.2880","GDM.2880","20","Spain","Jaen",NA,"Cerro de las Albahacas",38.014377,-3.132474,"Archaeological artefacts","Cu metal","SW/SE quinto ",NA,18.382,NA,15.664,NA,38.536,NA,0.85216,NA,2.0964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,302,9.7864,3.9952,"García-Bellido et al., 2015","Ref.097","U. Tübingen","MC-ICPMS",NA,"Archaeological",NA
"GDM.2881","GDM.2881","22","Spain","Jaen",NA,"Cerro de las Albahacas",38.014377,-3.132474,"Archaeological artefacts","Cu metal","SW/SE quinto ",NA,18.266,NA,15.655,NA,38.386,NA,0.85703,NA,2.10148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,371,9.7787,3.9906,"García-Bellido et al., 2015","Ref.097","U. Tübingen","MC-ICPMS",NA,"Archaeological",NA
"GDM.2882","GDM.2882","56","Spain","Jaen",NA,"Cerro de las Albahacas",38.014377,-3.132474,"Archaeological artefacts","Silver","Arse/Saguntum ",NA,18.688,NA,15.687,NA,38.953,NA,0.83941,NA,2.0844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,119,9.8107,4.0155,"García-Bellido et al., 2015","Ref.097","U. Tübingen","MC-ICPMS",NA,"Archaeological",NA
"GDM.2883","GDM.2883","57","Spain","Jaen",NA,"Cerro de las Albahacas",38.014377,-3.132474,"Archaeological artefacts","Cu metal","Castulo serie I ",NA,18.32,NA,15.641,NA,38.501,NA,0.85376,NA,2.10152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,305,9.7096,4.0107,"García-Bellido et al., 2015","Ref.097","U. Tübingen","MC-ICPMS",NA,"Archaeological",NA
"GDM.2884","GDM.2884","58","Spain","Jaen",NA,"Cerro de las Albahacas",38.014377,-3.132474,"Archaeological artefacts","Cu metal","Castulo serie III ",NA,18.232,NA,15.632,NA,38.399,NA,0.8574,NA,2.1061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,353,9.695,4.0131,"García-Bellido et al., 2015","Ref.097","U. Tübingen","MC-ICPMS",NA,"Archaeological",NA
"GDM.2885","GDM.2885","62","Spain","Jaen",NA,"Cerro de las Albahacas",38.014377,-3.132474,"Archaeological artefacts","Cu metal","Castulo serie Vlb ",NA,18.219,NA,15.6275,NA,38.379,NA,0.85776,NA,2.10657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,354,9.6802,4.0096,"García-Bellido et al., 2015","Ref.097","U. Tübingen","MC-ICPMS",NA,"Archaeological",NA
"GDM.2886","GDM.2886","63","Spain","Jaen",NA,"Cerro de las Albahacas",38.014377,-3.132474,"Archaeological artefacts","Cu metal","Castulo serie Vlb ",NA,18.22,NA,15.629,NA,38.384,NA,0.85776,NA,2.10665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,357,9.686,4.0122,"García-Bellido et al., 2015","Ref.097","U. Tübingen","MC-ICPMS",NA,"Archaeological",NA
"GDM.2887","GDM.2887","64","Spain","Jaen",NA,"Cerro de las Albahacas",38.014377,-3.132474,"Archaeological artefacts","Cu metal","Castulo serie Vlb ",NA,18.428,NA,15.669,NA,38.644,NA,0.85028,NA,2.09706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,277,9.7955,4.0231,"García-Bellido et al., 2015","Ref.097","U. Tübingen","MC-ICPMS",NA,"Archaeological",NA
"GDM.2811","GDM.2811","PA2032  (91850)","Spain","Girona","Llimiana","Muricecs ",42.076957,0.916427,"Archaeological artefacts","Cu metal","Rasoir ",NA,18.201,NA,15.616,NA,38.413,NA,0.858,NA,2.1105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,346,9.6386,4.0367,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2812","GDM.2812","PA2033  (1849)","Spain","Girona","Llimiana","Muricecs ",42.076957,0.916427,"Archaeological artefacts","Cu metal","Hache Plate ",NA,18.195,NA,15.616,NA,38.397,NA,0.8583,NA,2.1103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,351,9.6401,4.0321,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2813","GDM.2813","PA2033  (11862)","Spain","Girona","Llimiana","Muricecs ",42.076957,0.916427,"Archaeological artefacts","Cu metal","Torque ",NA,18.154,NA,15.662,NA,38.323,NA,0.8627,NA,2.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,466,9.8366,4.0362,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2814","GDM.2814","PA2034  (11836- 6)","Spain","Girona","Llimiana","Muricecs ",42.076957,0.916427,"Archaeological artefacts","Cu metal","Bracelet ",NA,18.197,NA,15.616,NA,38.345,NA,0.8582,NA,2.1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,349,9.6396,4.0022,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2815","GDM.2815","PA2034  (41836-27)","Spain","Girona","Llimiana","Muricecs ",42.076957,0.916427,"Archaeological artefacts","Cu metal","Bracelet ",NA,18.183,NA,15.624,NA,38.435,NA,0.8593,NA,2.1138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,375,9.6752,4.0643,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2816","GDM.2816","PA2034  (51836- 8)","Spain","Girona","Llimiana","Muricecs ",42.076957,0.916427,"Archaeological artefacts","Cu metal","Bracelet ",NA,18.196,NA,15.616,NA,38.343,NA,0.8582,NA,2.1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,350,9.6399,4.0018,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2817","GDM.2817","PA2034  (61836-12 )","Spain","Girona","Llimiana","Muricecs ",42.076957,0.916427,"Archaeological artefacts","Cu metal","Bracelet ",NA,18.21,NA,15.605,NA,38.294,NA,0.8569,NA,2.1029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,319,9.5926,3.9615,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2818","GDM.2818","PA2035  (01836-20 )","Spain","Girona","Llimiana","Muricecs ",42.076957,0.916427,"Archaeological artefacts","Cu metal","Bracelet ",NA,18.188,NA,15.61,NA,38.415,NA,0.8583,NA,2.1121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,345,9.6178,4.0448,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2819","GDM.2819","PA2035  (11836-18 )","Spain","Girona","Llimiana","Muricecs ",42.076957,0.916427,"Archaeological artefacts","Cu metal","Bracelet ",NA,18.402,NA,15.661,NA,38.583,NA,0.851,NA,2.0967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,282,9.7699,4.0056,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2820","GDM.2820","PA2035  (21836-2)","Spain","Girona","Llimiana","Muricecs ",42.076957,0.916427,"Archaeological artefacts","Cu metal","Bracelet ",NA,18.186,NA,15.635,NA,38.352,NA,0.8597,NA,2.1089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,393,9.7186,4.0204,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2821","GDM.2821","AA0451  (1924/ 60/ 46 )","Spain","Huelva",NA,"Ría de Huelva",37.238072,-6.964191,"Archaeological artefacts","Cu metal","Fibules coudées ",NA,18.172,NA,15.638,NA,38.258,NA,0.8606,NA,2.1052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,409,9.7344,3.9795,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2822","GDM.2822","AA0636  (1924/ 60/ 45 )","Spain","Huelva",NA,"Ría de Huelva ",37.238072,-6.964191,"Archaeological artefacts","Cu metal","Fibules coudées ",NA,18.363,NA,15.64,NA,38.446,NA,0.8517,NA,2.0937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,271,9.6957,3.9517,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2823","GDM.2823","AA0637  (1924/ 60/ 41 )","Spain","Huelva",NA,"Ría de Huelva ",37.238072,-6.964191,"Archaeological artefacts","Cu metal","Fibules coudées ",NA,18.286,NA,15.638,NA,38.363,NA,0.8552,NA,2.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,324,9.7058,3.9585,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2824","GDM.2824","AA0441 (32568)","Spain","Huelva",NA,"Ría de Huelva ",37.238072,-6.964191,"Archaeological artefacts","Cu metal","Bouton ",NA,18.112,NA,15.636,NA,38.211,NA,0.8633,NA,2.1098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,450,9.7423,3.9945,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2825","GDM.2825","AA0616  (32573)","Spain","Huelva",NA,"Ría de Huelva ",37.238072,-6.964191,"Archaeological artefacts","Cu metal","Bouton ",NA,18.354,NA,15.662,NA,38.517,NA,0.8533,NA,2.0985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,319,9.7851,4.0034,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2826","GDM.2826","AA0615  (32576)","Spain","Huelva",NA,"Ría de Huelva ",37.238072,-6.964191,"Archaeological artefacts","Cu metal","Bouton ",NA,18.497,NA,15.659,NA,38.436,NA,0.8466,NA,2.0779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,207,9.7409,3.8644,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2827","GDM.2827","AA0611  (32580)","Spain","Huelva",NA,"Ría de Huelva ",37.238072,-6.964191,"Archaeological artefacts","Cu metal","Bouton ",NA,18.278,NA,15.662,NA,38.458,NA,0.8569,NA,2.1041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,375,9.8038,4.0238,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2828","GDM.2828","PA13503 (PA13503)","Spain","Toledo","Yuncler","Las Lunas ",40.03956,-3.895669,"Archaeological artefacts","Cu metal","Haches à Talon et 2anneaux ",NA,18.336,NA,15.631,NA,38.399,NA,0.8525,NA,2.0942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,274,9.6663,3.9416,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2829","GDM.2829","PA13504 (PA13504)","Spain","Toledo","Yuncler","Las Lunas ",40.03956,-3.895669,"Archaeological artefacts","Cu metal","Haches à Talon et 1anneau ",NA,18.192,NA,15.616,NA,38.311,NA,0.8584,NA,2.1059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,353,9.6409,3.9871,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2830","GDM.2830","PA13506 (PA13506)","Spain","Toledo","Yuncler","Las Lunas ",40.03956,-3.895669,"Archaeological artefacts","Cu metal","Marteau àdouille ",NA,18.185,NA,15.626,NA,38.287,NA,0.8593,NA,2.1054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,377,9.6827,3.9823,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2831","GDM.2831","PA13507 (PA13507)","Spain","Toledo","Yuncler","Las Lunas ",40.03956,-3.895669,"Archaeological artefacts","Cu metal","Manilla ",NA,18.191,NA,15.618,NA,38.29,NA,0.8586,NA,2.1049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,358,9.6491,3.977,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2832","GDM.2832","PA13508 (PA13508)","Spain","Toledo","Yuncler","Las Lunas ",40.03956,-3.895669,"Archaeological artefacts","Cu metal","Fibule ",NA,18.235,NA,15.624,NA,38.33,NA,0.8568,NA,2.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,336,9.6623,3.9706,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2833","GDM.2833","PA13512 (PA13512)","Spain","Toledo","Yuncler","Las Lunas ",40.03956,-3.895669,"Archaeological artefacts","Cu metal","Masse lottes de coulée ",NA,18.175,NA,15.615,NA,38.255,NA,0.8591,NA,2.1048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,364,9.6411,3.9678,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2834","GDM.2834","PA13513 (PA13513)","Spain","Toledo","Yuncler","Las Lunas ",40.03956,-3.895669,"Archaeological artefacts","Cu metal","Culot de fonderie ",NA,18.197,NA,15.62,NA,38.317,NA,0.8584,NA,2.1057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,357,9.6556,3.9883,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.2835","GDM.2835","PA13514 (PA1351 )","Spain","Toledo","Yuncler","Las Lunas ",40.03956,-3.895669,"Archaeological artefacts","Cu metal","Masse lottes de coulée ",NA,18.196,NA,15.619,NA,38.315,NA,0.8584,NA,2.1057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bronze Age",NA,356,9.6519,3.9875,"Montero-Ruiz et al., 2015","Ref.098","UPV/EHU, Leioa","MC-ICPMS",NA,"Archaeological",NA
"GDM.1375","GDM.1375","SA-02","Spain","Baleares","Es Mercadal","Sanisera camp ",40.069623,4.087668,"Archaeological artefacts","Pb metal","Sling bullet",NA,18.73,3e-04,15.681,2e-04,39.007,7e-04,0.83718,1e-05,2.0825,2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museu de Baleares",NA,"Roman"," 100–75 BC",76,9.7794,4.0129,"Müller et al., 2014","Ref.099","Goethe U., Frankfurt","MC-ICPMS",NA,"Archaeological",NA
"GDM.1376","GDM.1376","SA-03","Spain","Baleares","Es Mercadal","Sanisera camp ",40.069623,4.087668,"Archaeological artefacts","Pb metal","Sling bullet",NA,18.732,3e-04,15.68,3e-04,39.008,8e-04,0.83707,1e-05,2.0824,2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museu de Baleares",NA,"Roman"," 100–75 BC",72,9.7752,4.0117,"Müller et al., 2014","Ref.099","Goethe U., Frankfurt","MC-ICPMS",NA,"Archaeological",NA
"GDM.1377","GDM.1377","SA-07","Spain","Baleares","Es Mercadal","Sanisera camp ",40.069623,4.087668,"Archaeological artefacts","Pb metal","Sling bullet",NA,18.727,2e-04,15.679,2e-04,39.002,6e-04,0.83725,1e-05,2.0826,2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museu de Baleares",NA,"Roman"," 100–75 BC",74,9.7723,4.0116,"Müller et al., 2014","Ref.099","Goethe U., Frankfurt","MC-ICPMS",NA,"Archaeological",NA
"GDM.1378","GDM.1378","SA-12","Spain","Baleares","Es Mercadal","Sanisera camp ",40.069623,4.087668,"Archaeological artefacts","Pb metal","Sling bullet",NA,18.722,7e-04,15.678,6e-04,38.99,0.0015,0.8374,1e-05,2.0828,2e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museu de Baleares",NA,"Roman"," 100–75 BC",76,9.7694,4.0085,"Müller et al., 2014","Ref.099","Goethe U., Frankfurt","MC-ICPMS",NA,"Archaeological",NA
"GDM.1379","GDM.1379","SA-13","Spain","Baleares","Es Mercadal","Sanisera camp ",40.069623,4.087668,"Archaeological artefacts","Pb metal","Sling bullet",NA,18.729,4e-04,15.678,4e-04,39.005,0.0011,0.83713,1e-05,2.0825,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museu de Baleares",NA,"Roman"," 123–100 BC",71,9.768,4.0115,"Müller et al., 2014","Ref.099","Goethe U., Frankfurt","MC-ICPMS",NA,"Archaeological",NA
"GDM.1380","GDM.1380","SA-16","Spain","Baleares","Es Mercadal","Sanisera camp ",40.069623,4.087668,"Archaeological artefacts","Pb metal","Ring ",NA,18.725,5e-04,15.678,4e-04,39,0.0012,0.83727,1e-05,2.0827,1e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Museu de Baleares",NA,"Roman"," 100–75 BC",74,9.7688,4.0116,"Müller et al., 2014","Ref.099","Goethe U., Frankfurt","MC-ICPMS",NA,"Archaeological",NA
