"","code","sample","country","province","location","outcrop","decimallatitude","decimallongitude","sample.type","analysed.material","sample.details","main.ore","p206.204","p206.204.2sd","p207.204","p207.204.2sd","p208.204","p208.204.2sd","p207.206","p207.206.2sd","p208.206","p208.206.2sd","pb.content","u.content","model.age","mu","w","geological.zone","geol.age","host.rock","deposit.morphology","realm","excavation.no","find.spot","courtesy","period","chronology","tmod","mu12","kappa12","reference","ref.code","laboratory","spectrometry","observations","sample.type1","geol.zone"
"GDM.0024","GDM.0024","RT-19A-86","Spain","Huelva","Rio Tinto",NA,37.715398,-6.583105,"Archaeological artefacts","Pb metal",NA,NA,18.59,NA,15.709,NA,38.9,NA,0.84503,NA,2.09253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,234,9.9169,4.0616,"Craddock et al., 1985","Ref.009","U. Oxford","TIMS",NA,"Archaeological",NA
"GDM.0025","GDM.0025","RT-19A-63","Spain","Huelva","Rio Tinto",NA,37.715398,-6.583105,"Archaeological artefacts","Pb metal",NA,NA,18.779,NA,15.764,NA,39.269,NA,0.83946,NA,2.09112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,200,10.0918,4.1424,"Craddock et al., 1985","Ref.009","U. Oxford","TIMS",NA,"Archaeological",NA
"GDM.0026","GDM.0026","RT-19A-85","Spain","Huelva","Rio Tinto",NA,37.715398,-6.583105,"Archaeological artefacts","Litharge",NA,NA,18.599,NA,15.702,NA,38.879,NA,0.84425,NA,2.0904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,214,9.8875,4.0422,"Craddock et al., 1985","Ref.009","U. Oxford","TIMS",NA,"Archaeological",NA
"GDM.0027","GDM.0027","RT-19A-88","Spain","Huelva","Rio Tinto",NA,37.715398,-6.583105,"Archaeological artefacts","Silver","Raw Silver",NA,18.516,NA,15.647,NA,38.648,NA,0.84507,NA,2.08729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,169,9.69,3.9582,"Craddock et al., 1985","Ref.009","U. Oxford","TIMS",NA,"Archaeological",NA
"GDM.0028","GDM.0028","RT-19A","Spain","Huelva","Rio Tinto",NA,37.715398,-6.583105,"Archaeological artefacts","Pb metal","Plate Slag",NA,18.73,NA,15.703,NA,39.064,NA,0.83839,NA,2.08564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,119,9.8644,4.0497,"Craddock et al., 1985","Ref.009","U. Oxford","TIMS",NA,"Archaeological",NA
"GDM.0029","GDM.0029","RT-19A","Spain","Huelva","Rio Tinto",NA,37.715398,-6.583105,"Archaeological artefacts","Pb metal","Concave Surface of Wedge",NA,18.522,NA,15.714,NA,38.824,NA,0.84842,NA,2.0961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Roman",NA,293,9.9521,4.0698,"Craddock et al., 1985","Ref.009","U. Oxford","TIMS",NA,"Archaeological",NA
"GDM.0030","GDM.0030","BM.1921,480","Spain","Almeria","Cuevas de Almanzora","S. Almagrera",37.28641,-1.751886,"Mineral","Galena",NA,"Pb",18.758,NA,15.687,NA,39.025,NA,0.8363,NA,2.0804,NA,NA,NA,NA,NA,NA,"BC",NA,NA,NA,NA,NA,NA,NA,NA,NA,67,9.7972,4.0058,"Dayton and Dayton, 1986","Ref.010","NBS, Maryland;  U. Oxford","TIMS",NA,"Geological","Betic Cordillera"
"GDM.0032","GDM.0032","BM.1921,478","Spain","Córdoba","Posadas","Santa Barbara Mine",37.844217,-5.095712,"Mineral","Galena",NA,"Pb",18.212,NA,15.589,NA,38.173,NA,0.856,NA,2.0961,NA,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,286,9.5286,3.8885,"Dayton and Dayton, 1986","Ref.010","NBS, Maryland;  U. Oxford","TIMS",NA,"Geological","Ossa Morena Zone"
"GDM.0033","GDM.0033","BM.46656a","Spain","Granada","Adra",NA,37.193912,-3.568441,"Mineral","Galena",NA,"Pb",18.195,NA,15.586,NA,38.171,NA,0.8566,NA,2.0979,NA,NA,NA,NA,NA,NA,"BC",NA,NA,NA,NA,NA,NA,NA,NA,NA,293,9.5206,3.8978,"Dayton and Dayton, 1986","Ref.010","NBS, Maryland;  U. Oxford","TIMS",NA,"Geological","Betic Cordillera"
"GDM.0034","GDM.0034","BM.1927,103","Spain","Almeria","Laujar","Los Belgas Mine, S. Gador",36.951676,-2.510098,"Mineral","Galena",NA,"Pb",18.339,NA,15.674,NA,38.531,NA,0.8547,NA,2.1011,NA,NA,NA,NA,NA,NA,"BC",NA,NA,NA,NA,NA,NA,NA,NA,NA,352,9.8366,4.0254,"Dayton and Dayton, 1986","Ref.010","NBS, Maryland;  U. Oxford","TIMS",NA,"Geological","Betic Cordillera"
"GDM.0035","GDM.0035","BM.40788","Spain","Almeria","Gador","S. Gador",36.951676,-2.510098,"Mineral","Galena",NA,"Pb",18.322,NA,15.661,NA,38.514,NA,0.8548,NA,2.1021,NA,NA,NA,NA,NA,NA,"BC",NA,NA,NA,NA,NA,NA,NA,NA,NA,341,9.7888,4.0234,"Dayton and Dayton, 1986","Ref.010","NBS, Maryland;  U. Oxford","TIMS",NA,"Geological","Betic Cordillera"
"GDM.0036","GDM.0036","JED","Spain","Jaen","Baños de la Encina","Centenillo Mine, S. Morena",38.33987,-3.732378,"Mineral","Galena",NA,"Pb",18.242,NA,15.646,NA,38.422,NA,0.8577,NA,2.1063,NA,NA,NA,NA,NA,NA,"NIM",NA,NA,NA,NA,NA,NA,NA,NA,NA,372,9.7486,4.0236,"Dayton and Dayton, 1986","Ref.010","NBS, Maryland;  U. Oxford","TIMS",NA,"Geological","Northern branch of the Iberian Massif"
"GDM.0037","GDM.0037","Pb- 89, <U+FEFF>401","Spain","Huelva","Rio Tinto",NA,37.70455,-6.598663,"Mineral","Galena","Galena",NA,18.23,NA,15.65,NA,38.33,NA,0.8581,NA,2.1021,NA,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,388,9.7677,3.9831,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Geological","Ossa Morena Zone"
"GDM.0038","GDM.0038","Pb- 847, 1701","Spain","Huelva","Rio Tinto",NA,37.70455,-6.598663,"Mineral","Pb mineral","Lead",NA,18.23,NA,15.62,NA,38.39,NA,0.8571,NA,2.1061,NA,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,332,9.6475,4.0053,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Geological","Ossa Morena Zone"
"GDM.0039","GDM.0039","Pb- 848, 1702","Spain","Huelva","Rio Tinto",NA,37.70455,-6.598663,"Mineral","Galena","Earthy material",NA,18.18,NA,15.59,NA,38.36,NA,0.858,NA,2.1103,NA,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,312,9.54,4.013,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Geological","Ossa Morena Zone"
"GDM.0040","GDM.0040","Pb- 849, 1703","Spain","Huelva","Rio Tinto",NA,37.70455,-6.598663,"Mineral","Galena","Earthy material",NA,18.2,NA,15.6,NA,38.25,NA,0.8571,NA,2.101,NA,NA,NA,NA,NA,NA,"OMZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,316,9.5751,3.9425,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Geological","Ossa Morena Zone"
"GDM.0041","GDM.0041","Pb-1442, 1674","Spain","Segovia",NA,NA,37.33,2,"Archaeological artefacts","Pb metal","Blanca",NA,18.37,NA,15.61,NA,38.35,NA,0.8496,NA,2.0877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s. XV","1471-74",207,9.5761,3.8853,"Brill et al, 1987","Ref.011","NBS, Maryland","TIMS",NA,"Archaeological",NA
